Date2,Month,Year,Location,LocationName,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2015-05-01,May,2015,N161H,Aberdeen Maternity Hospital,AB25 2ZL,"Foresterhill, Aberdeen",-2.132073270074462,57.15525994557647,Aberdeen City,84,1,83,98.8,1.2,1.2,1,0,0,0,1.2,0,0,0,100,0,0,0,83,1
2015-06-01,Jun,2015,N161H,Aberdeen Maternity Hospital,AB25 2ZL,"Foresterhill, Aberdeen",-2.132073270074462,57.15525994557647,Aberdeen City,97,1,96,99,1,1,0,0,0,1,0,0,0,1,0,0,0,100,96,1
2015-07-01,Jul,2015,N161H,Aberdeen Maternity Hospital,AB25 2ZL,"Foresterhill, Aberdeen",-2.132073270074462,57.15525994557647,Aberdeen City,83,0,83,100,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,83,0
2015-08-01,Aug,2015,N161H,Aberdeen Maternity Hospital,AB25 2ZL,"Foresterhill, Aberdeen",-2.132073270074462,57.15525994557647,Aberdeen City,102,1,101,99,1,1,0,1,0,0,0,1,0,0,0,100,0,0,101,1
2015-09-01,Sep,2015,N161H,Aberdeen Maternity Hospital,AB25 2ZL,"Foresterhill, Aberdeen",-2.132073270074462,57.15525994557647,Aberdeen City,91,2,89,97.8,2.2,2.2,0,0,1,1,0,0,1.1,1.1,0,0,50,50,89,2
2015-10-01,Oct,2015,N161H,Aberdeen Maternity Hospital,AB25 2ZL,"Foresterhill, Aberdeen",-2.132073270074462,57.15525994557647,Aberdeen City,91,2,89,97.8,2.2,2.2,1,0,0,1,1.1,0,0,1.1,50,0,0,50,89,2
2015-11-01,Nov,2015,N161H,Aberdeen Maternity Hospital,AB25 2ZL,"Foresterhill, Aberdeen",-2.132073270074462,57.15525994557647,Aberdeen City,81,0,81,100,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,81,0
2015-12-01,Dec,2015,N161H,Aberdeen Maternity Hospital,AB25 2ZL,"Foresterhill, Aberdeen",-2.132073270074462,57.15525994557647,Aberdeen City,94,0,94,100,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,94,0
2016-01-01,Jan,2016,N161H,Aberdeen Maternity Hospital,AB25 2ZL,"Foresterhill, Aberdeen",-2.132073270074462,57.15525994557647,Aberdeen City,84,0,84,100,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,84,0
2016-02-01,Feb,2016,N161H,Aberdeen Maternity Hospital,AB25 2ZL,"Foresterhill, Aberdeen",-2.132073270074462,57.15525994557647,Aberdeen City,87,0,87,100,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,87,0
2016-03-01,Mar,2016,N161H,Aberdeen Maternity Hospital,AB25 2ZL,"Foresterhill, Aberdeen",-2.132073270074462,57.15525994557647,Aberdeen City,82,1,81,98.8,1.2,1.2,1,0,0,0,1.2,0,0,0,100,0,0,0,81,1
2016-04-01,Apr,2016,N161H,Aberdeen Maternity Hospital,AB25 2ZL,"Foresterhill, Aberdeen",-2.132073270074462,57.15525994557647,Aberdeen City,69,0,69,100,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,69,0
2016-05-01,May,2016,N161H,Aberdeen Maternity Hospital,AB25 2ZL,"Foresterhill, Aberdeen",-2.132073270074462,57.15525994557647,Aberdeen City,108,0,108,100,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,108,0
2016-06-01,Jun,2016,N161H,Aberdeen Maternity Hospital,AB25 2ZL,"Foresterhill, Aberdeen",-2.132073270074462,57.15525994557647,Aberdeen City,18,0,18,100,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,18,0
2016-07-01,Jul,2016,N161H,Aberdeen Maternity Hospital,AB25 2ZL,"Foresterhill, Aberdeen",-2.132073270074462,57.15525994557647,Aberdeen City,16,0,16,100,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,16,0
