Date2,Month,Year,Location,LocationName,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2017-12-01,Dec,2017,Y146H,Dumfries & Galloway Royal Infirmary,DG2 8RX,"Cargenbridge, Dumfries",-3.659026815491533,55.058888341509864,Dumfries and Galloway,642,63,579,90.2,9.8,9.8,27,19,13,4,4.2,3,2,0.6,42.9,30.2,20.6,6.3,579,63
2018-01-01,Jan,2018,Y146H,Dumfries & Galloway Royal Infirmary,DG2 8RX,"Cargenbridge, Dumfries",-3.659026815491533,55.058888341509864,Dumfries and Galloway,1032,128,904,87.6,12.4,12.4,39,40,39,10,3.8,3.9,3.8,1,30.5,31.2,30.5,7.8,904,128
2018-02-01,Feb,2018,Y146H,Dumfries & Galloway Royal Infirmary,DG2 8RX,"Cargenbridge, Dumfries",-3.659026815491533,55.058888341509864,Dumfries and Galloway,1079,127,952,88.2,11.8,11.8,52,41,30,4,4.8,3.8,2.8,0.4,40.9,32.3,23.6,3.1,952,127
2018-03-01,Mar,2018,Y146H,Dumfries & Galloway Royal Infirmary,DG2 8RX,"Cargenbridge, Dumfries",-3.659026815491533,55.058888341509864,Dumfries and Galloway,1258,119,1139,90.5,9.5,9.5,47,39,25,8,3.7,3.1,2,0.6,39.5,32.8,21,6.7,1139,119
2018-04-01,Apr,2018,Y146H,Dumfries & Galloway Royal Infirmary,DG2 8RX,"Cargenbridge, Dumfries",-3.659026815491533,55.058888341509864,Dumfries and Galloway,1137,116,1021,89.8,10.2,10.2,43,39,28,6,3.8,3.4,2.5,0.5,37.1,33.6,24.1,5.2,1021,116
2018-05-01,May,2018,Y146H,Dumfries & Galloway Royal Infirmary,DG2 8RX,"Cargenbridge, Dumfries",-3.659026815491533,55.058888341509864,Dumfries and Galloway,1349,111,1238,91.8,8.2,8.2,46,32,29,4,3.4,2.4,2.1,0.3,41.4,28.8,26.1,3.6,1238,111
2018-06-01,Jun,2018,Y146H,Dumfries & Galloway Royal Infirmary,DG2 8RX,"Cargenbridge, Dumfries",-3.659026815491533,55.058888341509864,Dumfries and Galloway,1134,87,1047,92.3,7.7,7.7,41,30,13,3,3.6,2.6,1.1,0.3,47.1,34.5,14.9,3.4,1047,87
2018-07-01,Jul,2018,Y146H,Dumfries & Galloway Royal Infirmary,DG2 8RX,"Cargenbridge, Dumfries",-3.659026815491533,55.058888341509864,Dumfries and Galloway,1168,105,1063,91,9,9,42,41,22,0,3.6,3.5,1.9,0,40,39,21,0,1063,105
2018-08-01,Aug,2018,Y146H,Dumfries & Galloway Royal Infirmary,DG2 8RX,"Cargenbridge, Dumfries",-3.659026815491533,55.058888341509864,Dumfries and Galloway,1231,113,1118,90.8,9.2,9.2,44,45,18,6,3.6,3.7,1.5,0.5,38.9,39.8,15.9,5.3,1118,113
2018-09-01,Sep,2018,Y146H,Dumfries & Galloway Royal Infirmary,DG2 8RX,"Cargenbridge, Dumfries",-3.659026815491533,55.058888341509864,Dumfries and Galloway,1119,89,1030,92,8,8,39,32,16,2,3.5,2.9,1.4,0.2,43.8,36,18,2.2,1030,89
