Date2,Month,Year,Location,LocationName,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2015-05-01,May,2015,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,1102,78,1024,92.9,7.1,7.1,35,31,9,3,3.2,2.8,0.8,0.3,44.9,39.7,11.5,3.8,1024,78
2015-06-01,Jun,2015,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,1027,82,945,92,8,8,38,30,8,6,3.7,2.9,0.8,0.6,46.3,36.6,9.8,7.3,945,82
2015-07-01,Jul,2015,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,938,75,863,92,8,8,37,22,8,8,3.9,2.3,0.9,0.9,49.3,29.3,10.7,10.7,863,75
2015-08-01,Aug,2015,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,997,77,920,92.3,7.7,7.7,36,23,10,8,3.6,2.3,1,0.8,46.8,29.9,13,10.4,920,77
2015-09-01,Sep,2015,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,985,108,877,89,11,11,32,49,12,15,3.2,5,1.2,1.5,29.6,45.4,11.1,13.9,877,108
2015-10-01,Oct,2015,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,944,105,839,88.9,11.1,11.1,31,44,22,8,3.3,4.7,2.3,0.8,29.5,41.9,21,7.6,839,105
2015-11-01,Nov,2015,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,989,82,907,91.7,8.3,8.3,25,31,21,5,2.5,3.1,2.1,0.5,30.5,37.8,25.6,6.1,907,82
2015-12-01,Dec,2015,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,914,90,824,90.2,9.8,9.8,33,44,12,1,3.6,4.8,1.3,0.1,36.7,48.9,13.3,1.1,824,90
2016-01-01,Jan,2016,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,865,93,772,89.2,10.8,10.8,34,39,18,2,3.9,4.5,2.1,0.2,36.6,41.9,19.4,2.2,772,93
2016-02-01,Feb,2016,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,1019,93,926,90.9,9.1,9.1,42,37,14,0,4.1,3.6,1.4,0,45.2,39.8,15.1,0,926,93
2016-03-01,Mar,2016,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,988,88,900,91.1,8.9,8.9,28,43,13,4,2.8,4.4,1.3,0.4,31.8,48.9,14.8,4.5,900,88
2016-04-01,Apr,2016,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,899,84,815,90.7,9.3,9.3,33,21,27,3,3.7,2.3,3,0.3,39.3,25,32.1,3.6,815,84
2016-05-01,May,2016,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,975,96,879,90.2,9.8,9.8,24,42,28,2,2.5,4.3,2.9,0.2,25,43.8,29.2,2.1,879,96
2016-06-01,Jun,2016,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,948,74,874,92.2,7.8,7.8,31,34,8,1,3.3,3.6,0.8,0.1,41.9,45.9,10.8,1.4,874,74
2016-07-01,Jul,2016,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,830,77,753,90.7,9.3,9.3,30,22,23,2,3.6,2.7,2.8,0.2,39,28.6,29.9,2.6,753,77
2016-08-01,Aug,2016,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,1003,101,902,89.9,10.1,10.1,34,36,31,0,3.4,3.6,3.1,0,33.7,35.6,30.7,0,902,101
2016-09-01,Sep,2016,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,943,86,857,90.9,9.1,9.1,31,27,28,0,3.3,2.9,3,0,36,31.4,32.6,0,857,86
2016-10-01,Oct,2016,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,935,110,825,88.2,11.8,11.8,44,40,26,0,4.7,4.3,2.8,0,40,36.4,23.6,0,825,110
2016-11-01,Nov,2016,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,1011,88,923,91.3,8.7,8.7,30,32,26,0,3,3.2,2.6,0,34.1,36.4,29.5,0,923,88
2016-12-01,Dec,2016,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,831,73,758,91.2,8.8,8.8,31,18,24,0,3.7,2.2,2.9,0,42.5,24.7,32.9,0,758,73
2017-01-01,Jan,2017,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,947,107,840,88.7,11.3,11.3,39,30,37,1,4.1,3.2,3.9,0.1,36.4,28,34.6,0.9,840,107
2017-02-01,Feb,2017,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,945,97,848,89.7,10.3,10.3,37,34,26,0,3.9,3.6,2.8,0,38.1,35.1,26.8,0,848,97
2017-03-01,Mar,2017,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,1072,96,976,91,9,9,32,45,19,0,3,4.2,1.8,0,33.3,46.9,19.8,0,976,96
2017-04-01,Apr,2017,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,852,72,780,91.5,8.5,8.5,27,31,12,2,3.2,3.6,1.4,0.2,37.5,43.1,16.7,2.8,780,72
2017-05-01,May,2017,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,1036,104,932,90,10,10,31,40,33,0,3,3.9,3.2,0,29.8,38.5,31.7,0,932,104
2017-06-01,Jun,2017,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,972,120,852,87.7,12.3,12.3,41,32,47,0,4.2,3.3,4.8,0,34.2,26.7,39.2,0,852,120
2017-07-01,Jul,2017,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,788,67,721,91.5,8.5,8.5,21,30,15,1,2.7,3.8,1.9,0.1,31.3,44.8,22.4,1.5,721,67
2017-08-01,Aug,2017,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,946,94,852,90.1,9.9,9.9,34,28,31,1,3.6,3,3.3,0.1,36.2,29.8,33,1.1,852,94
2017-09-01,Sep,2017,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,952,115,837,87.9,12.1,12.1,46,34,35,0,4.8,3.6,3.7,0,40,29.6,30.4,0,837,115
2017-10-01,Oct,2017,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,929,106,823,88.6,11.4,11.4,34,30,42,0,3.7,3.2,4.5,0,32.1,28.3,39.6,0,823,106
2017-11-01,Nov,2017,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,975,91,884,90.7,9.3,9.3,29,33,29,0,3,3.4,3,0,31.9,36.3,31.9,0,884,91
2017-12-01,Dec,2017,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,756,89,667,88.2,11.8,11.8,20,30,39,0,2.6,4,5.2,0,22.5,33.7,43.8,0,667,89
2018-01-01,Jan,2018,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,841,126,715,85,15,15,39,46,41,0,4.6,5.5,4.9,0,31,36.5,32.5,0,715,126
2018-02-01,Feb,2018,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,846,98,748,88.4,11.6,11.6,40,37,21,0,4.7,4.4,2.5,0,40.8,37.8,21.4,0,748,98
2018-03-01,Mar,2018,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,981,175,806,82.2,17.8,17.8,42,24,109,0,4.3,2.4,11.1,0,24,13.7,62.3,0,806,175
2018-04-01,Apr,2018,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,815,87,728,89.3,10.7,10.7,37,18,32,0,4.5,2.2,3.9,0,42.5,20.7,36.8,0,728,87
2018-05-01,May,2018,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,1010,94,916,90.7,9.3,9.3,30,31,33,0,3,3.1,3.3,0,31.9,33,35.1,0,916,94
2018-06-01,Jun,2018,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,872,71,801,91.9,8.1,8.1,26,32,13,0,3,3.7,1.5,0,36.6,45.1,18.3,0,801,71
2018-07-01,Jul,2018,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,723,82,641,88.7,11.3,11.3,21,27,31,3,2.9,3.7,4.3,0.4,25.6,32.9,37.8,3.7,641,82
2018-08-01,Aug,2018,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,853,95,758,88.9,11.1,11.1,36,28,30,1,4.2,3.3,3.5,0.1,37.9,29.5,31.6,1.1,758,95
2018-09-01,Sep,2018,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,835,79,756,90.5,9.5,9.5,25,25,29,0,3,3,3.5,0,31.6,31.6,36.7,0,756,79
2018-10-01,Oct,2018,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,954,70,884,92.7,7.3,7.3,19,30,20,1,2,3.1,2.1,0.1,27.1,42.9,28.6,1.4,884,70
2018-11-01,Nov,2018,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,940,101,839,89.3,10.7,10.7,34,43,24,0,3.6,4.6,2.6,0,33.7,42.6,23.8,0,839,101
2018-12-01,Dec,2018,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,684,75,609,89,11,11,30,19,26,0,4.4,2.8,3.8,0,40,25.3,34.7,0,609,75
2019-01-01,Jan,2019,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,857,84,773,90.2,9.8,9.8,32,30,22,0,3.7,3.5,2.6,0,38.1,35.7,26.2,0,773,84
2019-02-01,Feb,2019,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,836,85,751,89.8,10.2,10.2,26,35,23,1,3.1,4.2,2.8,0.1,30.6,41.2,27.1,1.2,751,85
2019-03-01,Mar,2019,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,940,66,874,93,7,7,23,31,12,0,2.4,3.3,1.3,0,34.8,47,18.2,0,874,66
2019-04-01,Apr,2019,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,900,76,824,91.6,8.4,8.4,27,29,20,0,3,3.2,2.2,0,35.5,38.2,26.3,0,824,76
2019-05-01,May,2019,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,988,85,903,91.4,8.6,8.6,31,37,17,0,3.1,3.7,1.7,0,36.5,43.5,20,0,903,85
2019-06-01,Jun,2019,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,855,89,766,89.6,10.4,10.4,31,28,30,0,3.6,3.3,3.5,0,34.8,31.5,33.7,0,766,89
2019-07-01,Jul,2019,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,743,82,661,89,11,11,34,27,21,0,4.6,3.6,2.8,0,41.5,32.9,25.6,0,661,82
2019-08-01,Aug,2019,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,814,64,750,92.1,7.9,7.9,22,31,11,0,2.7,3.8,1.4,0,34.4,48.4,17.2,0,750,64
2019-09-01,Sep,2019,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,864,81,783,90.6,9.4,9.4,33,31,17,0,3.8,3.6,2,0,40.7,38.3,21,0,783,81
2019-10-01,Oct,2019,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,920,79,841,91.4,8.6,8.6,28,33,18,0,3,3.6,2,0,35.4,41.8,22.8,0,841,79
2019-11-01,Nov,2019,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,911,90,821,90.1,9.9,9.9,38,35,17,0,4.2,3.8,1.9,0,42.2,38.9,18.9,0,821,90
2019-12-01,Dec,2019,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,731,87,644,88.1,11.9,11.9,23,37,27,0,3.1,5.1,3.7,0,26.4,42.5,31,0,644,87
2020-01-01,Jan,2020,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,913,76,837,91.7,8.3,8.3,29,34,13,0,3.2,3.7,1.4,0,38.2,44.7,17.1,0,837,76
2020-02-01,Feb,2020,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,924,72,852,92.2,7.8,7.8,25,37,10,0,2.7,4,1.1,0,34.7,51.4,13.9,0,852,72
2020-03-01,Mar,2020,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,746,108,638,85.5,14.5,14.5,35,47,26,0,4.7,6.3,3.5,0,32.4,43.5,24.1,0,638,108
2020-04-01,Apr,2020,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,147,32,115,78.2,21.8,21.8,8,24,0,0,5.4,16.3,0,0,25,75,0,0,115,32
2020-05-01,May,2020,V217H,Forth Valley Royal Hospital,FK5 4WR,"Stirling Road, Larbert",-3.8480096713125365,56.0251206111352,Falkirk,143,5,138,96.5,3.5,3.5,0,5,0,0,0,3.5,0,0,0,100,0,0,138,5
