Date2,Month,Year,Location,LocationName,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2015-05-01,May,2015,Y144H,Galloway Community Hospital,DG9 7DQ,"Dalrymple Street, Stranraer",-5.021758051825584,54.89920990341152,Dumfries and Galloway,121,13,108,89.3,10.7,10.7,6,2,5,0,5,1.7,4.1,0,46.2,15.4,38.5,0,108,13
2015-06-01,Jun,2015,Y144H,Galloway Community Hospital,DG9 7DQ,"Dalrymple Street, Stranraer",-5.021758051825584,54.89920990341152,Dumfries and Galloway,135,10,125,92.6,7.4,7.4,5,5,0,0,3.7,3.7,0,0,50,50,0,0,125,10
2015-07-01,Jul,2015,Y144H,Galloway Community Hospital,DG9 7DQ,"Dalrymple Street, Stranraer",-5.021758051825584,54.89920990341152,Dumfries and Galloway,165,25,140,84.8,15.2,15.2,14,9,1,1,8.5,5.5,0.6,0.6,56,36,4,4,140,25
2015-08-01,Aug,2015,Y144H,Galloway Community Hospital,DG9 7DQ,"Dalrymple Street, Stranraer",-5.021758051825584,54.89920990341152,Dumfries and Galloway,169,24,145,85.8,14.2,14.2,8,14,0,2,4.7,8.3,0,1.2,33.3,58.3,0,8.3,145,24
2015-09-01,Sep,2015,Y144H,Galloway Community Hospital,DG9 7DQ,"Dalrymple Street, Stranraer",-5.021758051825584,54.89920990341152,Dumfries and Galloway,136,22,114,83.8,16.2,16.2,13,7,2,0,9.6,5.1,1.5,0,59.1,31.8,9.1,0,114,22
2015-10-01,Oct,2015,Y144H,Galloway Community Hospital,DG9 7DQ,"Dalrymple Street, Stranraer",-5.021758051825584,54.89920990341152,Dumfries and Galloway,172,19,153,89,11,11,6,11,0,2,3.5,6.4,0,1.2,31.6,57.9,0,10.5,153,19
2015-11-01,Nov,2015,Y144H,Galloway Community Hospital,DG9 7DQ,"Dalrymple Street, Stranraer",-5.021758051825584,54.89920990341152,Dumfries and Galloway,131,6,125,95.4,4.6,4.6,0,5,0,1,0,3.8,0,0.8,0,83.3,0,16.7,125,6
2015-12-01,Dec,2015,Y144H,Galloway Community Hospital,DG9 7DQ,"Dalrymple Street, Stranraer",-5.021758051825584,54.89920990341152,Dumfries and Galloway,125,8,117,93.6,6.4,6.4,3,3,0,2,2.4,2.4,0,1.6,37.5,37.5,0,25,117,8
2016-01-01,Jan,2016,Y144H,Galloway Community Hospital,DG9 7DQ,"Dalrymple Street, Stranraer",-5.021758051825584,54.89920990341152,Dumfries and Galloway,125,29,96,76.8,23.2,23.2,12,4,10,3,9.6,3.2,8,2.4,41.4,13.8,34.5,10.3,96,29
2016-02-01,Feb,2016,Y144H,Galloway Community Hospital,DG9 7DQ,"Dalrymple Street, Stranraer",-5.021758051825584,54.89920990341152,Dumfries and Galloway,176,9,167,94.9,5.1,5.1,4,3,0,2,2.3,1.7,0,1.1,44.4,33.3,0,22.2,167,9
