Date2,Month,Year,Location,LocationName,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2015-05-01,May,2015,Z102H,Gilbert Bain Hospital,ZE1 0TB,"Lerwick, Shetland",-1.1556642382162836,60.151058275581285,Shetland Islands,163,8,155,95.1,4.9,4.9,5,2,1,0,3.1,1.2,0.6,0,62.5,25,12.5,0,155,8
2015-06-01,Jun,2015,Z102H,Gilbert Bain Hospital,ZE1 0TB,"Lerwick, Shetland",-1.1556642382162836,60.151058275581285,Shetland Islands,154,8,146,94.8,5.2,5.2,3,2,3,0,1.9,1.3,1.9,0,37.5,25,37.5,0,146,8
2015-07-01,Jul,2015,Z102H,Gilbert Bain Hospital,ZE1 0TB,"Lerwick, Shetland",-1.1556642382162836,60.151058275581285,Shetland Islands,166,20,146,88,12,12,7,4,9,0,4.2,2.4,5.4,0,35,20,45,0,146,20
2015-08-01,Aug,2015,Z102H,Gilbert Bain Hospital,ZE1 0TB,"Lerwick, Shetland",-1.1556642382162836,60.151058275581285,Shetland Islands,172,11,161,93.6,6.4,6.4,5,6,0,0,2.9,3.5,0,0,45.5,54.5,0,0,161,11
2015-09-01,Sep,2015,Z102H,Gilbert Bain Hospital,ZE1 0TB,"Lerwick, Shetland",-1.1556642382162836,60.151058275581285,Shetland Islands,170,7,163,95.9,4.1,4.1,6,1,0,0,3.5,0.6,0,0,85.7,14.3,0,0,163,7
2015-10-01,Oct,2015,Z102H,Gilbert Bain Hospital,ZE1 0TB,"Lerwick, Shetland",-1.1556642382162836,60.151058275581285,Shetland Islands,148,8,140,94.6,5.4,5.4,3,3,2,0,2,2,1.4,0,37.5,37.5,25,0,140,8
2015-11-01,Nov,2015,Z102H,Gilbert Bain Hospital,ZE1 0TB,"Lerwick, Shetland",-1.1556642382162836,60.151058275581285,Shetland Islands,160,4,156,97.5,2.5,2.5,3,1,0,0,1.9,0.6,0,0,75,25,0,0,156,4
2015-12-01,Dec,2015,Z102H,Gilbert Bain Hospital,ZE1 0TB,"Lerwick, Shetland",-1.1556642382162836,60.151058275581285,Shetland Islands,143,7,136,95.1,4.9,4.9,3,2,2,0,2.1,1.4,1.4,0,42.9,28.6,28.6,0,136,7
2016-01-01,Jan,2016,Z102H,Gilbert Bain Hospital,ZE1 0TB,"Lerwick, Shetland",-1.1556642382162836,60.151058275581285,Shetland Islands,151,11,140,92.7,7.3,7.3,9,1,1,0,6,0.7,0.7,0,81.8,9.1,9.1,0,140,11
2016-02-01,Feb,2016,Z102H,Gilbert Bain Hospital,ZE1 0TB,"Lerwick, Shetland",-1.1556642382162836,60.151058275581285,Shetland Islands,145,8,137,94.5,5.5,5.5,5,0,3,0,3.4,0,2.1,0,62.5,0,37.5,0,137,8
