Date2,Month,Year,Location,LocationName,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2015-05-01,May,2015,D102H,Golden Jubilee National Hospital,G81 4DY,"Agamemnon Street, Clydebank",-4.425411171770315,55.90646125639316,NA,1274,57,1217,95.5,4.5,4.5,20,7,30,0,1.6,0.5,2.4,0,35.1,12.3,52.6,0,1217,57
2015-06-01,Jun,2015,D102H,Golden Jubilee National Hospital,G81 4DY,"Agamemnon Street, Clydebank",-4.425411171770315,55.90646125639316,NA,1259,72,1187,94.3,5.7,5.7,24,8,40,0,1.9,0.6,3.2,0,33.3,11.1,55.6,0,1187,72
2015-07-01,Jul,2015,D102H,Golden Jubilee National Hospital,G81 4DY,"Agamemnon Street, Clydebank",-4.425411171770315,55.90646125639316,NA,1349,88,1261,93.5,6.5,6.5,22,16,50,0,1.6,1.2,3.7,0,25,18.2,56.8,0,1261,88
2015-08-01,Aug,2015,D102H,Golden Jubilee National Hospital,G81 4DY,"Agamemnon Street, Clydebank",-4.425411171770315,55.90646125639316,NA,1326,90,1236,93.2,6.8,6.8,24,10,56,0,1.8,0.8,4.2,0,26.7,11.1,62.2,0,1236,90
2015-09-01,Sep,2015,D102H,Golden Jubilee National Hospital,G81 4DY,"Agamemnon Street, Clydebank",-4.425411171770315,55.90646125639316,NA,1336,93,1243,93,7,7,25,10,58,0,1.9,0.7,4.3,0,26.9,10.8,62.4,0,1243,93
2015-10-01,Oct,2015,D102H,Golden Jubilee National Hospital,G81 4DY,"Agamemnon Street, Clydebank",-4.425411171770315,55.90646125639316,NA,1413,84,1329,94.1,5.9,5.9,29,9,46,0,2.1,0.6,3.3,0,34.5,10.7,54.8,0,1329,84
2015-11-01,Nov,2015,D102H,Golden Jubilee National Hospital,G81 4DY,"Agamemnon Street, Clydebank",-4.425411171770315,55.90646125639316,NA,1410,80,1330,94.3,5.7,5.7,36,9,35,0,2.6,0.6,2.5,0,45,11.2,43.8,0,1330,80
2015-12-01,Dec,2015,D102H,Golden Jubilee National Hospital,G81 4DY,"Agamemnon Street, Clydebank",-4.425411171770315,55.90646125639316,NA,1332,90,1242,93.2,6.8,6.8,29,8,53,0,2.2,0.6,4,0,32.2,8.9,58.9,0,1242,90
2016-01-01,Jan,2016,D102H,Golden Jubilee National Hospital,G81 4DY,"Agamemnon Street, Clydebank",-4.425411171770315,55.90646125639316,NA,1330,76,1254,94.3,5.7,5.7,26,13,37,0,2,1,2.8,0,34.2,17.1,48.7,0,1254,76
2016-02-01,Feb,2016,D102H,Golden Jubilee National Hospital,G81 4DY,"Agamemnon Street, Clydebank",-4.425411171770315,55.90646125639316,NA,1444,85,1359,94.1,5.9,5.9,31,14,40,0,2.1,1,2.8,0,36.5,16.5,47.1,0,1359,85
2016-03-01,Mar,2016,D102H,Golden Jubilee National Hospital,G81 4DY,"Agamemnon Street, Clydebank",-4.425411171770315,55.90646125639316,NA,1492,74,1418,95,5,5,21,3,50,0,1.4,0.2,3.4,0,28.4,4.1,67.6,0,1418,74
2016-04-01,Apr,2016,D102H,Golden Jubilee National Hospital,G81 4DY,"Agamemnon Street, Clydebank",-4.425411171770315,55.90646125639316,NA,1402,53,1349,96.2,3.8,3.8,14,11,28,0,1,0.8,2,0,26.4,20.8,52.8,0,1349,53
2016-05-01,May,2016,D102H,Golden Jubilee National Hospital,G81 4DY,"Agamemnon Street, Clydebank",-4.425411171770315,55.90646125639316,NA,1541,72,1469,95.3,4.7,4.7,26,12,34,0,1.7,0.8,2.2,0,36.1,16.7,47.2,0,1469,72
