Date2,Month,Year,Location,LocationName,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2015-05-01,May,2015,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",-4.8098450049821215,55.944307868438116,Inverclyde,397,33,364,91.7,8.3,8.3,16,15,0,2,4,3.8,0,0.5,48.5,45.5,0,6.1,364,33
2015-06-01,Jun,2015,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",-4.8098450049821215,55.944307868438116,Inverclyde,501,29,472,94.2,5.8,5.8,17,12,0,0,3.4,2.4,0,0,58.6,41.4,0,0,472,29
2015-07-01,Jul,2015,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",-4.8098450049821215,55.944307868438116,Inverclyde,381,20,361,94.8,5.2,5.2,7,12,1,0,1.8,3.1,0.3,0,35,60,5,0,361,20
2015-08-01,Aug,2015,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",-4.8098450049821215,55.944307868438116,Inverclyde,455,35,420,92.3,7.7,7.7,18,17,0,0,4,3.7,0,0,51.4,48.6,0,0,420,35
2015-09-01,Sep,2015,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",-4.8098450049821215,55.944307868438116,Inverclyde,456,35,421,92.3,7.7,7.7,17,13,5,0,3.7,2.9,1.1,0,48.6,37.1,14.3,0,421,35
2015-10-01,Oct,2015,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",-4.8098450049821215,55.944307868438116,Inverclyde,522,50,472,90.4,9.6,9.6,25,21,4,0,4.8,4,0.8,0,50,42,8,0,472,50
2015-11-01,Nov,2015,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",-4.8098450049821215,55.944307868438116,Inverclyde,519,46,473,91.1,8.9,8.9,22,20,3,1,4.2,3.9,0.6,0.2,47.8,43.5,6.5,2.2,473,46
2015-12-01,Dec,2015,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",-4.8098450049821215,55.944307868438116,Inverclyde,478,60,418,87.4,12.6,12.6,24,19,9,8,5,4,1.9,1.7,40,31.7,15,13.3,418,60
2016-01-01,Jan,2016,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",-4.8098450049821215,55.944307868438116,Inverclyde,512,59,453,88.5,11.5,11.5,26,28,4,1,5.1,5.5,0.8,0.2,44.1,47.5,6.8,1.7,453,59
2016-02-01,Feb,2016,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",-4.8098450049821215,55.944307868438116,Inverclyde,512,40,472,92.2,7.8,7.8,21,15,2,2,4.1,2.9,0.4,0.4,52.5,37.5,5,5,472,40
2016-03-01,Mar,2016,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",-4.8098450049821215,55.944307868438116,Inverclyde,535,43,492,92,8,8,16,16,8,3,3,3,1.5,0.6,37.2,37.2,18.6,7,492,43
2016-04-01,Apr,2016,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",-4.8098450049821215,55.944307868438116,Inverclyde,523,44,479,91.6,8.4,8.4,18,14,4,8,3.4,2.7,0.8,1.5,40.9,31.8,9.1,18.2,479,44
2016-05-01,May,2016,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",-4.8098450049821215,55.944307868438116,Inverclyde,570,48,522,91.6,8.4,8.4,26,14,6,2,4.6,2.5,1.1,0.4,54.2,29.2,12.5,4.2,522,48
2016-06-01,Jun,2016,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",-4.8098450049821215,55.944307868438116,Inverclyde,566,47,519,91.7,8.3,8.3,23,22,1,1,4.1,3.9,0.2,0.2,48.9,46.8,2.1,2.1,519,47
2016-07-01,Jul,2016,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",-4.8098450049821215,55.944307868438116,Inverclyde,436,43,393,90.1,9.9,9.9,23,20,0,0,5.3,4.6,0,0,53.5,46.5,0,0,393,43
2016-08-01,Aug,2016,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",-4.8098450049821215,55.944307868438116,Inverclyde,416,20,396,95.2,4.8,4.8,10,6,3,1,2.4,1.4,0.7,0.2,50,30,15,5,396,20
2016-09-01,Sep,2016,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",-4.8098450049821215,55.944307868438116,Inverclyde,451,57,394,87.4,12.6,12.6,9,23,2,23,2,5.1,0.4,5.1,15.8,40.4,3.5,40.4,394,57
2016-10-01,Oct,2016,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",-4.8098450049821215,55.944307868438116,Inverclyde,463,38,425,91.8,8.2,8.2,12,21,3,2,2.6,4.5,0.6,0.4,31.6,55.3,7.9,5.3,425,38
2016-11-01,Nov,2016,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",-4.8098450049821215,55.944307868438116,Inverclyde,477,34,443,92.9,7.1,7.1,16,17,1,0,3.4,3.6,0.2,0,47.1,50,2.9,0,443,34
2016-12-01,Dec,2016,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",-4.8098450049821215,55.944307868438116,Inverclyde,342,36,306,89.5,10.5,10.5,10,20,6,0,2.9,5.8,1.8,0,27.8,55.6,16.7,0,306,36
2017-01-01,Jan,2017,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",-4.8098450049821215,55.944307868438116,Inverclyde,429,34,395,92.1,7.9,7.9,15,14,4,1,3.5,3.3,0.9,0.2,44.1,41.2,11.8,2.9,395,34
2017-02-01,Feb,2017,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",-4.8098450049821215,55.944307868438116,Inverclyde,449,39,410,91.3,8.7,8.7,14,22,2,1,3.1,4.9,0.4,0.2,35.9,56.4,5.1,2.6,410,39
2017-03-01,Mar,2017,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",-4.8098450049821215,55.944307868438116,Inverclyde,504,49,455,90.3,9.7,9.7,19,20,6,4,3.8,4,1.2,0.8,38.8,40.8,12.2,8.2,455,49
2017-04-01,Apr,2017,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",-4.8098450049821215,55.944307868438116,Inverclyde,310,23,287,92.6,7.4,7.4,13,9,1,0,4.2,2.9,0.3,0,56.5,39.1,4.3,0,287,23
2017-05-01,May,2017,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",-4.8098450049821215,55.944307868438116,Inverclyde,487,43,444,91.2,8.8,8.8,11,25,4,3,2.3,5.1,0.8,0.6,25.6,58.1,9.3,7,444,43
2017-06-01,Jun,2017,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",-4.8098450049821215,55.944307868438116,Inverclyde,455,49,406,89.2,10.8,10.8,17,14,18,0,3.7,3.1,4,0,34.7,28.6,36.7,0,406,49
2017-07-01,Jul,2017,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",-4.8098450049821215,55.944307868438116,Inverclyde,380,22,358,94.2,5.8,5.8,10,10,2,0,2.6,2.6,0.5,0,45.5,45.5,9.1,0,358,22
2017-08-01,Aug,2017,C313H,Inverclyde Royal Hospital,PA16 0XN,"Larkfield Road, Greenock",-4.8098450049821215,55.944307868438116,Inverclyde,467,34,433,92.7,7.3,7.3,20,13,1,0,4.3,2.8,0.2,0,58.8,38.2,2.9,0,433,34
