Date2,Month,Year,Location,LocationName,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2015-05-01,May,2015,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,637,44,593,93.1,6.9,6.9,24,17,1,2,3.8,2.7,0.2,0.3,54.5,38.6,2.3,4.5,593,44
2015-06-01,Jun,2015,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,782,51,731,93.5,6.5,6.5,20,30,0,1,2.6,3.8,0,0.1,39.2,58.8,0,2,731,51
2015-07-01,Jul,2015,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,621,48,573,92.3,7.7,7.7,20,23,4,1,3.2,3.7,0.6,0.2,41.7,47.9,8.3,2.1,573,48
2015-08-01,Aug,2015,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,710,48,662,93.2,6.8,6.8,22,23,3,0,3.1,3.2,0.4,0,45.8,47.9,6.2,0,662,48
2015-09-01,Sep,2015,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,787,68,719,91.4,8.6,8.6,26,39,1,2,3.3,5,0.1,0.3,38.2,57.4,1.5,2.9,719,68
2015-10-01,Oct,2015,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,865,84,781,90.3,9.7,9.7,46,35,3,0,5.3,4,0.3,0,54.8,41.7,3.6,0,781,84
2015-11-01,Nov,2015,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,818,89,729,89.1,10.9,10.9,39,36,9,5,4.8,4.4,1.1,0.6,43.8,40.4,10.1,5.6,729,89
2015-12-01,Dec,2015,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,766,71,695,90.7,9.3,9.3,34,33,0,4,4.4,4.3,0,0.5,47.9,46.5,0,5.6,695,71
2016-01-01,Jan,2016,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,761,83,678,89.1,10.9,10.9,40,39,4,0,5.3,5.1,0.5,0,48.2,47,4.8,0,678,83
2016-02-01,Feb,2016,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,871,96,775,89,11,11,40,53,3,0,4.6,6.1,0.3,0,41.7,55.2,3.1,0,775,96
2016-03-01,Mar,2016,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,879,93,786,89.4,10.6,10.6,56,35,1,1,6.4,4,0.1,0.1,60.2,37.6,1.1,1.1,786,93
2016-04-01,Apr,2016,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,735,68,667,90.7,9.3,9.3,34,31,2,1,4.6,4.2,0.3,0.1,50,45.6,2.9,1.5,667,68
2016-05-01,May,2016,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,827,73,754,91.2,8.8,8.8,37,31,0,5,4.5,3.7,0,0.6,50.7,42.5,0,6.8,754,73
2016-06-01,Jun,2016,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,774,69,705,91.1,8.9,8.9,28,39,1,1,3.6,5,0.1,0.1,40.6,56.5,1.4,1.4,705,69
2016-07-01,Jul,2016,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,649,54,595,91.7,8.3,8.3,26,27,1,0,4,4.2,0.2,0,48.1,50,1.9,0,595,54
2016-08-01,Aug,2016,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,878,75,803,91.5,8.5,8.5,42,25,1,7,4.8,2.8,0.1,0.8,56,33.3,1.3,9.3,803,75
2016-09-01,Sep,2016,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,820,95,725,88.4,11.6,11.6,41,52,1,1,5,6.3,0.1,0.1,43.2,54.7,1.1,1.1,725,95
2016-10-01,Oct,2016,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,803,68,735,91.5,8.5,8.5,36,31,1,0,4.5,3.9,0.1,0,52.9,45.6,1.5,0,735,68
2016-11-01,Nov,2016,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,881,63,818,92.8,7.2,7.2,24,38,0,1,2.7,4.3,0,0.1,38.1,60.3,0,1.6,818,63
2016-12-01,Dec,2016,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,705,58,647,91.8,8.2,8.2,30,24,4,0,4.3,3.4,0.6,0,51.7,41.4,6.9,0,647,58
2017-01-01,Jan,2017,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,779,61,718,92.2,7.8,7.8,26,29,0,6,3.3,3.7,0,0.8,42.6,47.5,0,9.8,718,61
2017-02-01,Feb,2017,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,774,75,699,90.3,9.7,9.7,30,40,0,5,3.9,5.2,0,0.6,40,53.3,0,6.7,699,75
2017-03-01,Mar,2017,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,846,60,786,92.9,7.1,7.1,28,31,1,0,3.3,3.7,0.1,0,46.7,51.7,1.7,0,786,60
2017-04-01,Apr,2017,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,627,59,568,90.6,9.4,9.4,33,25,0,1,5.3,4,0,0.2,55.9,42.4,0,1.7,568,59
2017-05-01,May,2017,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,845,76,769,91,9,9,32,42,2,0,3.8,5,0.2,0,42.1,55.3,2.6,0,769,76
2017-06-01,Jun,2017,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,839,68,771,91.9,8.1,8.1,25,36,1,6,3,4.3,0.1,0.7,36.8,52.9,1.5,8.8,771,68
2017-07-01,Jul,2017,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,618,54,564,91.3,8.7,8.7,25,24,4,1,4,3.9,0.6,0.2,46.3,44.4,7.4,1.9,564,54
2017-08-01,Aug,2017,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,898,90,808,90,10,10,43,43,1,3,4.8,4.8,0.1,0.3,47.8,47.8,1.1,3.3,808,90
2017-09-01,Sep,2017,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,838,73,765,91.3,8.7,8.7,34,38,1,0,4.1,4.5,0.1,0,46.6,52.1,1.4,0,765,73
2017-10-01,Oct,2017,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,805,64,741,92,8,8,27,37,0,0,3.4,4.6,0,0,42.2,57.8,0,0,741,64
2017-11-01,Nov,2017,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,916,87,829,90.5,9.5,9.5,23,58,2,4,2.5,6.3,0.2,0.4,26.4,66.7,2.3,4.6,829,87
2017-12-01,Dec,2017,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,714,97,617,86.4,13.6,13.6,35,44,15,3,4.9,6.2,2.1,0.4,36.1,45.4,15.5,3.1,617,97
2018-01-01,Jan,2018,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,849,102,747,88,12,12,33,67,0,2,3.9,7.9,0,0.2,32.4,65.7,0,2,747,102
2018-02-01,Feb,2018,G306H,New Victoria Hospital,G42 9LF,"55 Grange Road, Glasgow",-4.265322788141168,55.828615429737766,Glasgow City,780,81,699,89.6,10.4,10.4,31,39,0,11,4,5,0,1.4,38.3,48.1,0,13.6,699,81
