Date2,Month,Year,Location,LocationName,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2015-05-01,May,2015,T101H,Ninewells Hospital,DD1 9SY,Dundee,-2.9914097371952924,56.46168490165827,Dundee City,1439,175,1264,87.8,12.2,12.2,40,72,52,11,2.8,5,3.6,0.8,22.9,41.1,29.7,6.3,1264,175
2015-06-01,Jun,2015,T101H,Ninewells Hospital,DD1 9SY,Dundee,-2.9914097371952924,56.46168490165827,Dundee City,1534,168,1366,89,11,11,58,57,38,15,3.8,3.7,2.5,1,34.5,33.9,22.6,8.9,1366,168
2015-07-01,Jul,2015,T101H,Ninewells Hospital,DD1 9SY,Dundee,-2.9914097371952924,56.46168490165827,Dundee City,1417,149,1268,89.5,10.5,10.5,36,54,52,7,2.5,3.8,3.7,0.5,24.2,36.2,34.9,4.7,1268,149
2015-08-01,Aug,2015,T101H,Ninewells Hospital,DD1 9SY,Dundee,-2.9914097371952924,56.46168490165827,Dundee City,1558,160,1398,89.7,10.3,10.3,42,55,47,16,2.7,3.5,3,1,26.2,34.4,29.4,10,1398,160
2015-09-01,Sep,2015,T101H,Ninewells Hospital,DD1 9SY,Dundee,-2.9914097371952924,56.46168490165827,Dundee City,1613,147,1466,90.9,9.1,9.1,39,47,43,18,2.4,2.9,2.7,1.1,26.5,32,29.3,12.2,1466,147
2015-10-01,Oct,2015,T101H,Ninewells Hospital,DD1 9SY,Dundee,-2.9914097371952924,56.46168490165827,Dundee City,1497,133,1364,91.1,8.9,8.9,37,50,38,8,2.5,3.3,2.5,0.5,27.8,37.6,28.6,6,1364,133
2015-11-01,Nov,2015,T101H,Ninewells Hospital,DD1 9SY,Dundee,-2.9914097371952924,56.46168490165827,Dundee City,1479,157,1322,89.4,10.6,10.6,41,66,44,6,2.8,4.5,3,0.4,26.1,42,28,3.8,1322,157
2015-12-01,Dec,2015,T101H,Ninewells Hospital,DD1 9SY,Dundee,-2.9914097371952924,56.46168490165827,Dundee City,1469,153,1316,89.6,10.4,10.4,54,46,44,9,3.7,3.1,3,0.6,35.3,30.1,28.8,5.9,1316,153
2016-01-01,Jan,2016,T101H,Ninewells Hospital,DD1 9SY,Dundee,-2.9914097371952924,56.46168490165827,Dundee City,1446,195,1251,86.5,13.5,13.5,45,40,97,13,3.1,2.8,6.7,0.9,23.1,20.5,49.7,6.7,1251,195
2016-02-01,Feb,2016,T101H,Ninewells Hospital,DD1 9SY,Dundee,-2.9914097371952924,56.46168490165827,Dundee City,1584,177,1407,88.8,11.2,11.2,39,50,74,14,2.5,3.2,4.7,0.9,22,28.2,41.8,7.9,1407,177
