Date2,Month,Year,Location,LocationName,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2015-05-01,May,2015,S316H,Princess Alexandra Eye Pavilion,EH3 9HA,"45 Chalmers Street, Edinburgh",-3.198348570454369,55.9440805932664,City of Edinburgh,417,59,358,85.9,14.1,14.1,29,5,4,21,7,1.2,1,5,49.2,8.5,6.8,35.6,358,59
2015-06-01,Jun,2015,S316H,Princess Alexandra Eye Pavilion,EH3 9HA,"45 Chalmers Street, Edinburgh",-3.198348570454369,55.9440805932664,City of Edinburgh,535,66,469,87.7,12.3,12.3,34,5,1,26,6.4,0.9,0.2,4.9,51.5,7.6,1.5,39.4,469,66
2015-07-01,Jul,2015,S316H,Princess Alexandra Eye Pavilion,EH3 9HA,"45 Chalmers Street, Edinburgh",-3.198348570454369,55.9440805932664,City of Edinburgh,335,51,284,84.8,15.2,15.2,25,0,7,19,7.5,0,2.1,5.7,49,0,13.7,37.3,284,51
2015-08-01,Aug,2015,S316H,Princess Alexandra Eye Pavilion,EH3 9HA,"45 Chalmers Street, Edinburgh",-3.198348570454369,55.9440805932664,City of Edinburgh,443,53,390,88,12,12,31,9,10,3,7,2,2.3,0.7,58.5,17,18.9,5.7,390,53
2015-09-01,Sep,2015,S316H,Princess Alexandra Eye Pavilion,EH3 9HA,"45 Chalmers Street, Edinburgh",-3.198348570454369,55.9440805932664,City of Edinburgh,520,59,461,88.7,11.3,11.3,34,7,3,15,6.5,1.3,0.6,2.9,57.6,11.9,5.1,25.4,461,59
2015-10-01,Oct,2015,S316H,Princess Alexandra Eye Pavilion,EH3 9HA,"45 Chalmers Street, Edinburgh",-3.198348570454369,55.9440805932664,City of Edinburgh,558,65,493,88.4,11.6,11.6,26,8,11,20,4.7,1.4,2,3.6,40,12.3,16.9,30.8,493,65
2015-11-01,Nov,2015,S316H,Princess Alexandra Eye Pavilion,EH3 9HA,"45 Chalmers Street, Edinburgh",-3.198348570454369,55.9440805932664,City of Edinburgh,551,62,489,88.7,11.3,11.3,37,6,6,13,6.7,1.1,1.1,2.4,59.7,9.7,9.7,21,489,62
2015-12-01,Dec,2015,S316H,Princess Alexandra Eye Pavilion,EH3 9HA,"45 Chalmers Street, Edinburgh",-3.198348570454369,55.9440805932664,City of Edinburgh,542,106,436,80.4,19.6,19.6,43,15,41,7,7.9,2.8,7.6,1.3,40.6,14.2,38.7,6.6,436,106
2016-01-01,Jan,2016,S316H,Princess Alexandra Eye Pavilion,EH3 9HA,"45 Chalmers Street, Edinburgh",-3.198348570454369,55.9440805932664,City of Edinburgh,458,67,391,85.4,14.6,14.6,18,9,37,3,3.9,2,8.1,0.7,26.9,13.4,55.2,4.5,391,67
2016-02-01,Feb,2016,S316H,Princess Alexandra Eye Pavilion,EH3 9HA,"45 Chalmers Street, Edinburgh",-3.198348570454369,55.9440805932664,City of Edinburgh,517,45,472,91.3,8.7,8.7,24,11,2,8,4.6,2.1,0.4,1.5,53.3,24.4,4.4,17.8,472,45
