Date2,Month,Year,Location,LocationName,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2015-05-01,May,2015,G405H,Queen Elizabeth University Hospital,G51 4TF,"1345 Govan Road, Glasgow",-4.338118360226516,55.862646105273306,Glasgow City,794,69,725,91.3,8.7,8.7,15,31,23,0,1.9,3.9,2.9,0,21.7,44.9,33.3,0,725,69
2015-06-01,Jun,2015,G405H,Queen Elizabeth University Hospital,G51 4TF,"1345 Govan Road, Glasgow",-4.338118360226516,55.862646105273306,Glasgow City,1152,81,1071,93,7,7,20,41,19,1,1.7,3.6,1.6,0.1,24.7,50.6,23.5,1.2,1071,81
2015-07-01,Jul,2015,G405H,Queen Elizabeth University Hospital,G51 4TF,"1345 Govan Road, Glasgow",-4.338118360226516,55.862646105273306,Glasgow City,924,87,837,90.6,9.4,9.4,32,41,12,2,3.5,4.4,1.3,0.2,36.8,47.1,13.8,2.3,837,87
2015-08-01,Aug,2015,G405H,Queen Elizabeth University Hospital,G51 4TF,"1345 Govan Road, Glasgow",-4.338118360226516,55.862646105273306,Glasgow City,1042,89,953,91.5,8.5,8.5,20,51,17,1,1.9,4.9,1.6,0.1,22.5,57.3,19.1,1.1,953,89
2015-09-01,Sep,2015,G405H,Queen Elizabeth University Hospital,G51 4TF,"1345 Govan Road, Glasgow",-4.338118360226516,55.862646105273306,Glasgow City,1143,90,1053,92.1,7.9,7.9,18,41,30,1,1.6,3.6,2.6,0.1,20,45.6,33.3,1.1,1053,90
2015-10-01,Oct,2015,G405H,Queen Elizabeth University Hospital,G51 4TF,"1345 Govan Road, Glasgow",-4.338118360226516,55.862646105273306,Glasgow City,1254,135,1119,89.2,10.8,10.8,17,61,57,0,1.4,4.9,4.5,0,12.6,45.2,42.2,0,1119,135
2015-11-01,Nov,2015,G405H,Queen Elizabeth University Hospital,G51 4TF,"1345 Govan Road, Glasgow",-4.338118360226516,55.862646105273306,Glasgow City,1249,109,1140,91.3,8.7,8.7,16,50,39,4,1.3,4,3.1,0.3,14.7,45.9,35.8,3.7,1140,109
2015-12-01,Dec,2015,G405H,Queen Elizabeth University Hospital,G51 4TF,"1345 Govan Road, Glasgow",-4.338118360226516,55.862646105273306,Glasgow City,1200,93,1107,92.2,7.8,7.8,13,44,36,0,1.1,3.7,3,0,14,47.3,38.7,0,1107,93
2016-01-01,Jan,2016,G405H,Queen Elizabeth University Hospital,G51 4TF,"1345 Govan Road, Glasgow",-4.338118360226516,55.862646105273306,Glasgow City,1084,134,950,87.6,12.4,12.4,7,47,69,11,0.6,4.3,6.4,1,5.2,35.1,51.5,8.2,950,134
2016-02-01,Feb,2016,G405H,Queen Elizabeth University Hospital,G51 4TF,"1345 Govan Road, Glasgow",-4.338118360226516,55.862646105273306,Glasgow City,1201,126,1075,89.5,10.5,10.5,17,57,48,4,1.4,4.7,4,0.3,13.5,45.2,38.1,3.2,1075,126
2016-03-01,Mar,2016,G405H,Queen Elizabeth University Hospital,G51 4TF,"1345 Govan Road, Glasgow",-4.338118360226516,55.862646105273306,Glasgow City,1132,125,1007,89,11,11,15,52,58,0,1.3,4.6,5.1,0,12,41.6,46.4,0,1007,125
2016-04-01,Apr,2016,G405H,Queen Elizabeth University Hospital,G51 4TF,"1345 Govan Road, Glasgow",-4.338118360226516,55.862646105273306,Glasgow City,1119,95,1024,91.5,8.5,8.5,14,50,30,1,1.3,4.5,2.7,0.1,14.7,52.6,31.6,1.1,1024,95
2016-05-01,May,2016,G405H,Queen Elizabeth University Hospital,G51 4TF,"1345 Govan Road, Glasgow",-4.338118360226516,55.862646105273306,Glasgow City,973,91,882,90.6,9.4,9.4,16,33,40,2,1.6,3.4,4.1,0.2,17.6,36.3,44,2.2,882,91
