Date2,Month,Year,Location,LocationName,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2015-05-01,May,2015,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,226,16,210,92.9,7.1,7.1,8,3,4,1,3.5,1.3,1.8,0.4,50,18.8,25,6.2,210,16
2015-06-01,Jun,2015,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,290,38,252,86.9,13.1,13.1,21,5,10,2,7.2,1.7,3.4,0.7,55.3,13.2,26.3,5.3,252,38
2015-07-01,Jul,2015,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,326,35,291,89.3,10.7,10.7,23,5,3,4,7.1,1.5,0.9,1.2,65.7,14.3,8.6,11.4,291,35
2015-08-01,Aug,2015,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,317,33,284,89.6,10.4,10.4,23,4,3,3,7.3,1.3,0.9,0.9,69.7,12.1,9.1,9.1,284,33
2015-09-01,Sep,2015,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,346,36,310,89.6,10.4,10.4,22,9,0,5,6.4,2.6,0,1.4,61.1,25,0,13.9,310,36
2015-10-01,Oct,2015,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,353,22,331,93.8,6.2,6.2,15,7,0,0,4.2,2,0,0,68.2,31.8,0,0,331,22
2015-11-01,Nov,2015,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,320,32,288,90,10,10,20,6,4,2,6.2,1.9,1.2,0.6,62.5,18.8,12.5,6.2,288,32
2015-12-01,Dec,2015,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,292,21,271,92.8,7.2,7.2,13,5,3,0,4.5,1.7,1,0,61.9,23.8,14.3,0,271,21
2016-01-01,Jan,2016,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,313,29,284,90.7,9.3,9.3,21,4,3,1,6.7,1.3,1,0.3,72.4,13.8,10.3,3.4,284,29
2016-02-01,Feb,2016,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,319,45,274,85.9,14.1,14.1,32,6,7,0,10,1.9,2.2,0,71.1,13.3,15.6,0,274,45
2016-03-01,Mar,2016,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,306,32,274,89.5,10.5,10.5,21,4,4,3,6.9,1.3,1.3,1,65.6,12.5,12.5,9.4,274,32
2016-04-01,Apr,2016,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,290,20,270,93.1,6.9,6.9,14,6,0,0,4.8,2.1,0,0,70,30,0,0,270,20
2016-05-01,May,2016,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,257,15,242,94.2,5.8,5.8,11,2,2,0,4.3,0.8,0.8,0,73.3,13.3,13.3,0,242,15
2016-06-01,Jun,2016,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,310,18,292,94.2,5.8,5.8,12,4,2,0,3.9,1.3,0.6,0,66.7,22.2,11.1,0,292,18
2016-07-01,Jul,2016,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,245,22,223,91,9,9,10,4,8,0,4.1,1.6,3.3,0,45.5,18.2,36.4,0,223,22
2016-08-01,Aug,2016,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,323,24,299,92.6,7.4,7.4,14,6,2,2,4.3,1.9,0.6,0.6,58.3,25,8.3,8.3,299,24
2016-09-01,Sep,2016,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,291,15,276,94.8,5.2,5.2,7,6,0,2,2.4,2.1,0,0.7,46.7,40,0,13.3,276,15
2016-10-01,Oct,2016,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,302,25,277,91.7,8.3,8.3,8,7,7,3,2.6,2.3,2.3,1,32,28,28,12,277,25
2016-11-01,Nov,2016,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,327,21,306,93.6,6.4,6.4,11,8,1,1,3.4,2.4,0.3,0.3,52.4,38.1,4.8,4.8,306,21
2016-12-01,Dec,2016,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,245,29,216,88.2,11.8,11.8,17,9,3,0,6.9,3.7,1.2,0,58.6,31,10.3,0,216,29
2017-01-01,Jan,2017,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,303,24,279,92.1,7.9,7.9,20,3,1,0,6.6,1,0.3,0,83.3,12.5,4.2,0,279,24
2017-02-01,Feb,2017,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,303,23,280,92.4,7.6,7.6,14,4,5,0,4.6,1.3,1.7,0,60.9,17.4,21.7,0,280,23
2017-03-01,Mar,2017,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,323,28,295,91.3,8.7,8.7,19,8,1,0,5.9,2.5,0.3,0,67.9,28.6,3.6,0,295,28
2017-04-01,Apr,2017,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,256,16,240,93.8,6.2,6.2,11,3,1,1,4.3,1.2,0.4,0.4,68.8,18.8,6.2,6.2,240,16
2017-05-01,May,2017,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,282,20,262,92.9,7.1,7.1,7,8,1,4,2.5,2.8,0.4,1.4,35,40,5,20,262,20
2017-06-01,Jun,2017,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,279,22,257,92.1,7.9,7.9,12,6,4,0,4.3,2.2,1.4,0,54.5,27.3,18.2,0,257,22
2017-07-01,Jul,2017,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,231,18,213,92.2,7.8,7.8,13,4,1,0,5.6,1.7,0.4,0,72.2,22.2,5.6,0,213,18
2017-08-01,Aug,2017,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,267,19,248,92.9,7.1,7.1,10,5,3,1,3.7,1.9,1.1,0.4,52.6,26.3,15.8,5.3,248,19
2017-09-01,Sep,2017,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,229,13,216,94.3,5.7,5.7,4,6,0,3,1.7,2.6,0,1.3,30.8,46.2,0,23.1,216,13
2017-10-01,Oct,2017,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,256,19,237,92.6,7.4,7.4,13,3,2,1,5.1,1.2,0.8,0.4,68.4,15.8,10.5,5.3,237,19
2017-11-01,Nov,2017,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,273,21,252,92.3,7.7,7.7,7,10,3,1,2.6,3.7,1.1,0.4,33.3,47.6,14.3,4.8,252,21
2017-12-01,Dec,2017,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,216,14,202,93.5,6.5,6.5,10,2,2,0,4.6,0.9,0.9,0,71.4,14.3,14.3,0,202,14
2018-01-01,Jan,2018,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,290,26,264,91,9,9,16,5,5,0,5.5,1.7,1.7,0,61.5,19.2,19.2,0,264,26
2018-02-01,Feb,2018,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,271,22,249,91.9,8.1,8.1,16,6,0,0,5.9,2.2,0,0,72.7,27.3,0,0,249,22
2018-03-01,Mar,2018,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,299,29,270,90.3,9.7,9.7,17,4,5,3,5.7,1.3,1.7,1,58.6,13.8,17.2,10.3,270,29
2018-04-01,Apr,2018,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,269,20,249,92.6,7.4,7.4,14,5,1,0,5.2,1.9,0.4,0,70,25,5,0,249,20
2018-05-01,May,2018,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,261,14,247,94.6,5.4,5.4,6,4,2,2,2.3,1.5,0.8,0.8,42.9,28.6,14.3,14.3,247,14
2018-06-01,Jun,2018,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,256,17,239,93.4,6.6,6.6,9,4,3,1,3.5,1.6,1.2,0.4,52.9,23.5,17.6,5.9,239,17
2018-07-01,Jul,2018,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,243,14,229,94.2,5.8,5.8,13,1,0,0,5.3,0.4,0,0,92.9,7.1,0,0,229,14
2018-08-01,Aug,2018,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,276,18,258,93.5,6.5,6.5,12,6,0,0,4.3,2.2,0,0,66.7,33.3,0,0,258,18
2018-09-01,Sep,2018,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,240,20,220,91.7,8.3,8.3,14,6,0,0,5.8,2.5,0,0,70,30,0,0,220,20
2018-10-01,Oct,2018,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,300,23,277,92.3,7.7,7.7,13,9,1,0,4.3,3,0.3,0,56.5,39.1,4.3,0,277,23
2018-11-01,Nov,2018,N121H,Royal Aberdeen Children's Hospital,AB25 2ZG,"Westburn Drive, Aberdeen",-2.135207866034525,57.1535947443495,Aberdeen City,323,23,300,92.9,7.1,7.1,17,4,0,2,5.3,1.2,0,0.6,73.9,17.4,0,8.7,300,23
