Date2,Month,Year,Location,LocationName,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2015-05-01,May,2015,G513H,Royal Hospital for Children,G51 4TF,"1345 Govan Road, Glasgow",-4.33986800422316,55.861444441572125,Glasgow City,837,63,774,92.5,7.5,7.5,26,27,10,0,3.1,3.2,1.2,0,41.3,42.9,15.9,0,774,63
2015-06-01,Jun,2015,G513H,Royal Hospital for Children,G51 4TF,"1345 Govan Road, Glasgow",-4.33986800422316,55.861444441572125,Glasgow City,570,46,524,91.9,8.1,8.1,12,27,7,0,2.1,4.7,1.2,0,26.1,58.7,15.2,0,524,46
2015-07-01,Jul,2015,G513H,Royal Hospital for Children,G51 4TF,"1345 Govan Road, Glasgow",-4.33986800422316,55.861444441572125,Glasgow City,678,42,636,93.8,6.2,6.2,22,16,3,1,3.2,2.4,0.4,0.1,52.4,38.1,7.1,2.4,636,42
2015-08-01,Aug,2015,G513H,Royal Hospital for Children,G51 4TF,"1345 Govan Road, Glasgow",-4.33986800422316,55.861444441572125,Glasgow City,727,67,660,90.8,9.2,9.2,25,33,9,0,3.4,4.5,1.2,0,37.3,49.3,13.4,0,660,67
2015-09-01,Sep,2015,G513H,Royal Hospital for Children,G51 4TF,"1345 Govan Road, Glasgow",-4.33986800422316,55.861444441572125,Glasgow City,943,78,865,91.7,8.3,8.3,28,31,17,2,3,3.3,1.8,0.2,35.9,39.7,21.8,2.6,865,78
2015-10-01,Oct,2015,G513H,Royal Hospital for Children,G51 4TF,"1345 Govan Road, Glasgow",-4.33986800422316,55.861444441572125,Glasgow City,1000,89,911,91.1,8.9,8.9,39,40,10,0,3.9,4,1,0,43.8,44.9,11.2,0,911,89
2015-11-01,Nov,2015,G513H,Royal Hospital for Children,G51 4TF,"1345 Govan Road, Glasgow",-4.33986800422316,55.861444441572125,Glasgow City,1007,107,900,89.4,10.6,10.6,33,55,18,1,3.3,5.5,1.8,0.1,30.8,51.4,16.8,0.9,900,107
2015-12-01,Dec,2015,G513H,Royal Hospital for Children,G51 4TF,"1345 Govan Road, Glasgow",-4.33986800422316,55.861444441572125,Glasgow City,831,112,719,86.5,13.5,13.5,45,50,15,2,5.4,6,1.8,0.2,40.2,44.6,13.4,1.8,719,112
2016-01-01,Jan,2016,G513H,Royal Hospital for Children,G51 4TF,"1345 Govan Road, Glasgow",-4.33986800422316,55.861444441572125,Glasgow City,800,90,710,88.8,11.2,11.2,33,46,11,0,4.1,5.8,1.4,0,36.7,51.1,12.2,0,710,90
2016-02-01,Feb,2016,G513H,Royal Hospital for Children,G51 4TF,"1345 Govan Road, Glasgow",-4.33986800422316,55.861444441572125,Glasgow City,894,96,798,89.3,10.7,10.7,39,34,20,3,4.4,3.8,2.2,0.3,40.6,35.4,20.8,3.1,798,96
