Date2,Month,Year,Location,LocationName,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2015-05-01,May,2015,S314H,Royal Infirmary of Edinburgh at Little France,EH16 4SA,"51 Little France Crescent, Old Dalkeith Road, Edinburgh",-3.1581504026102967,55.90997885008648,City of Edinburgh,1357,89,1268,93.4,6.6,6.6,27,23,11,28,2,1.7,0.8,2.1,30.3,25.8,12.4,31.5,1268,89
2015-06-01,Jun,2015,S314H,Royal Infirmary of Edinburgh at Little France,EH16 4SA,"51 Little France Crescent, Old Dalkeith Road, Edinburgh",-3.1581504026102967,55.90997885008648,City of Edinburgh,1517,102,1415,93.3,6.7,6.7,43,28,12,19,2.8,1.8,0.8,1.3,42.2,27.5,11.8,18.6,1415,102
2015-07-01,Jul,2015,S314H,Royal Infirmary of Edinburgh at Little France,EH16 4SA,"51 Little France Crescent, Old Dalkeith Road, Edinburgh",-3.1581504026102967,55.90997885008648,City of Edinburgh,1201,120,1081,90,10,10,36,40,17,27,3,3.3,1.4,2.2,30,33.3,14.2,22.5,1081,120
2015-08-01,Aug,2015,S314H,Royal Infirmary of Edinburgh at Little France,EH16 4SA,"51 Little France Crescent, Old Dalkeith Road, Edinburgh",-3.1581504026102967,55.90997885008648,City of Edinburgh,1485,93,1392,93.7,6.3,6.3,35,31,19,8,2.4,2.1,1.3,0.5,37.6,33.3,20.4,8.6,1392,93
2015-09-01,Sep,2015,S314H,Royal Infirmary of Edinburgh at Little France,EH16 4SA,"51 Little France Crescent, Old Dalkeith Road, Edinburgh",-3.1581504026102967,55.90997885008648,City of Edinburgh,1432,98,1334,93.2,6.8,6.8,30,42,20,6,2.1,2.9,1.4,0.4,30.6,42.9,20.4,6.1,1334,98
2015-10-01,Oct,2015,S314H,Royal Infirmary of Edinburgh at Little France,EH16 4SA,"51 Little France Crescent, Old Dalkeith Road, Edinburgh",-3.1581504026102967,55.90997885008648,City of Edinburgh,1425,102,1323,92.8,7.2,7.2,36,30,21,15,2.5,2.1,1.5,1.1,35.3,29.4,20.6,14.7,1323,102
2015-11-01,Nov,2015,S314H,Royal Infirmary of Edinburgh at Little France,EH16 4SA,"51 Little France Crescent, Old Dalkeith Road, Edinburgh",-3.1581504026102967,55.90997885008648,City of Edinburgh,1427,91,1336,93.6,6.4,6.4,30,33,23,5,2.1,2.3,1.6,0.4,33,36.3,25.3,5.5,1336,91
2015-12-01,Dec,2015,S314H,Royal Infirmary of Edinburgh at Little France,EH16 4SA,"51 Little France Crescent, Old Dalkeith Road, Edinburgh",-3.1581504026102967,55.90997885008648,City of Edinburgh,1451,89,1362,93.9,6.1,6.1,22,39,19,9,1.5,2.7,1.3,0.6,24.7,43.8,21.3,10.1,1362,89
2016-01-01,Jan,2016,S314H,Royal Infirmary of Edinburgh at Little France,EH16 4SA,"51 Little France Crescent, Old Dalkeith Road, Edinburgh",-3.1581504026102967,55.90997885008648,City of Edinburgh,1196,116,1080,90.3,9.7,9.7,23,41,41,11,1.9,3.4,3.4,0.9,19.8,35.3,35.3,9.5,1080,116
2016-02-01,Feb,2016,S314H,Royal Infirmary of Edinburgh at Little France,EH16 4SA,"51 Little France Crescent, Old Dalkeith Road, Edinburgh",-3.1581504026102967,55.90997885008648,City of Edinburgh,1362,154,1208,88.7,11.3,11.3,23,46,64,21,1.7,3.4,4.7,1.5,14.9,29.9,41.6,13.6,1208,154
