Date2,Month,Year,Location,LocationName,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2015-05-01,May,2015,G207H,Stobhill Hospital,G21 3UW,"133 Balornock Road, Glasgow",-4.219855618008921,55.8928955709958,Glasgow City,716,57,659,92,8,8,29,28,0,0,4.1,3.9,0,0,50.9,49.1,0,0,659,57
2015-06-01,Jun,2015,G207H,Stobhill Hospital,G21 3UW,"133 Balornock Road, Glasgow",-4.219855618008921,55.8928955709958,Glasgow City,694,54,640,92.2,7.8,7.8,24,30,0,0,3.5,4.3,0,0,44.4,55.6,0,0,640,54
2015-07-01,Jul,2015,G207H,Stobhill Hospital,G21 3UW,"133 Balornock Road, Glasgow",-4.219855618008921,55.8928955709958,Glasgow City,578,32,546,94.5,5.5,5.5,11,15,6,0,1.9,2.6,1,0,34.4,46.9,18.8,0,546,32
2015-08-01,Aug,2015,G207H,Stobhill Hospital,G21 3UW,"133 Balornock Road, Glasgow",-4.219855618008921,55.8928955709958,Glasgow City,669,51,618,92.4,7.6,7.6,25,24,0,2,3.7,3.6,0,0.3,49,47.1,0,3.9,618,51
2015-09-01,Sep,2015,G207H,Stobhill Hospital,G21 3UW,"133 Balornock Road, Glasgow",-4.219855618008921,55.8928955709958,Glasgow City,699,64,635,90.8,9.2,9.2,28,34,1,1,4,4.9,0.1,0.1,43.8,53.1,1.6,1.6,635,64
2015-10-01,Oct,2015,G207H,Stobhill Hospital,G21 3UW,"133 Balornock Road, Glasgow",-4.219855618008921,55.8928955709958,Glasgow City,837,77,760,90.8,9.2,9.2,38,36,2,1,4.5,4.3,0.2,0.1,49.4,46.8,2.6,1.3,760,77
2015-11-01,Nov,2015,G207H,Stobhill Hospital,G21 3UW,"133 Balornock Road, Glasgow",-4.219855618008921,55.8928955709958,Glasgow City,787,66,721,91.6,8.4,8.4,40,24,1,1,5.1,3,0.1,0.1,60.6,36.4,1.5,1.5,721,66
2015-12-01,Dec,2015,G207H,Stobhill Hospital,G21 3UW,"133 Balornock Road, Glasgow",-4.219855618008921,55.8928955709958,Glasgow City,707,59,648,91.7,8.3,8.3,30,28,0,1,4.2,4,0,0.1,50.8,47.5,0,1.7,648,59
2016-01-01,Jan,2016,G207H,Stobhill Hospital,G21 3UW,"133 Balornock Road, Glasgow",-4.219855618008921,55.8928955709958,Glasgow City,683,66,617,90.3,9.7,9.7,34,28,4,0,5,4.1,0.6,0,51.5,42.4,6.1,0,617,66
2016-02-01,Feb,2016,G207H,Stobhill Hospital,G21 3UW,"133 Balornock Road, Glasgow",-4.219855618008921,55.8928955709958,Glasgow City,643,57,586,91.1,8.9,8.9,23,33,0,1,3.6,5.1,0,0.2,40.4,57.9,0,1.8,586,57
2016-03-01,Mar,2016,G207H,Stobhill Hospital,G21 3UW,"133 Balornock Road, Glasgow",-4.219855618008921,55.8928955709958,Glasgow City,809,83,726,89.7,10.3,10.3,39,42,1,1,4.8,5.2,0.1,0.1,47,50.6,1.2,1.2,726,83
2016-04-01,Apr,2016,G207H,Stobhill Hospital,G21 3UW,"133 Balornock Road, Glasgow",-4.219855618008921,55.8928955709958,Glasgow City,726,61,665,91.6,8.4,8.4,28,30,2,1,3.9,4.1,0.3,0.1,45.9,49.2,3.3,1.6,665,61
2016-05-01,May,2016,G207H,Stobhill Hospital,G21 3UW,"133 Balornock Road, Glasgow",-4.219855618008921,55.8928955709958,Glasgow City,762,65,697,91.5,8.5,8.5,31,32,0,2,4.1,4.2,0,0.3,47.7,49.2,0,3.1,697,65
