Date2,Month,Year,Location,LocationName,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2019-06-01,Jun,2019,R103H,The Balfour,KW15 1NZ,"Foreland Road, Kirkwall, Orkney",-2.965444871430934,58.97370185705815,Orkney Islands,98,7,91,92.9,7.1,7.1,4,1,2,0,4.1,1,2,0,57.1,14.3,28.6,0,91,7
2019-07-01,Jul,2019,R103H,The Balfour,KW15 1NZ,"Foreland Road, Kirkwall, Orkney",-2.965444871430934,58.97370185705815,Orkney Islands,305,16,289,94.8,5.2,5.2,7,3,6,0,2.3,1,2,0,43.8,18.8,37.5,0,289,16
2019-08-01,Aug,2019,R103H,The Balfour,KW15 1NZ,"Foreland Road, Kirkwall, Orkney",-2.965444871430934,58.97370185705815,Orkney Islands,305,19,286,93.8,6.2,6.2,13,5,1,0,4.3,1.6,0.3,0,68.4,26.3,5.3,0,286,19
2019-09-01,Sep,2019,R103H,The Balfour,KW15 1NZ,"Foreland Road, Kirkwall, Orkney",-2.965444871430934,58.97370185705815,Orkney Islands,329,16,313,95.1,4.9,4.9,5,4,7,0,1.5,1.2,2.1,0,31.2,25,43.8,0,313,16
2019-10-01,Oct,2019,R103H,The Balfour,KW15 1NZ,"Foreland Road, Kirkwall, Orkney",-2.965444871430934,58.97370185705815,Orkney Islands,276,15,261,94.6,5.4,5.4,9,1,5,0,3.3,0.4,1.8,0,60,6.7,33.3,0,261,15
2019-11-01,Nov,2019,R103H,The Balfour,KW15 1NZ,"Foreland Road, Kirkwall, Orkney",-2.965444871430934,58.97370185705815,Orkney Islands,318,16,302,95,5,5,11,2,3,0,3.5,0.6,0.9,0,68.8,12.5,18.8,0,302,16
2019-12-01,Dec,2019,R103H,The Balfour,KW15 1NZ,"Foreland Road, Kirkwall, Orkney",-2.965444871430934,58.97370185705815,Orkney Islands,299,16,283,94.6,5.4,5.4,11,2,3,0,3.7,0.7,1,0,68.8,12.5,18.8,0,283,16
2020-01-01,Jan,2020,R103H,The Balfour,KW15 1NZ,"Foreland Road, Kirkwall, Orkney",-2.965444871430934,58.97370185705815,Orkney Islands,302,22,280,92.7,7.3,7.3,10,5,7,0,3.3,1.7,2.3,0,45.5,22.7,31.8,0,280,22
2020-02-01,Feb,2020,R103H,The Balfour,KW15 1NZ,"Foreland Road, Kirkwall, Orkney",-2.965444871430934,58.97370185705815,Orkney Islands,306,17,289,94.4,5.6,5.6,13,2,2,0,4.2,0.7,0.7,0,76.5,11.8,11.8,0,289,17
2020-03-01,Mar,2020,R103H,The Balfour,KW15 1NZ,"Foreland Road, Kirkwall, Orkney",-2.965444871430934,58.97370185705815,Orkney Islands,298,50,248,83.2,16.8,16.8,8,1,37,4,2.7,0.3,12.4,1.3,16,2,74,8,248,50
2020-04-01,Apr,2020,R103H,The Balfour,KW15 1NZ,"Foreland Road, Kirkwall, Orkney",-2.965444871430934,58.97370185705815,Orkney Islands,73,4,69,94.5,5.5,5.5,0,0,4,0,0,0,5.5,0,0,0,100,0,69,4
2020-05-01,May,2020,R103H,The Balfour,KW15 1NZ,"Foreland Road, Kirkwall, Orkney",-2.965444871430934,58.97370185705815,Orkney Islands,124,5,119,96,4,4,0,0,5,0,0,0,4,0,0,0,100,0,119,5
2020-06-01,Jun,2020,R103H,The Balfour,KW15 1NZ,"Foreland Road, Kirkwall, Orkney",-2.965444871430934,58.97370185705815,Orkney Islands,183,5,178,97.3,2.7,2.7,2,0,3,0,1.1,0,1.6,0,40,0,60,0,178,5
2020-07-01,Jul,2020,R103H,The Balfour,KW15 1NZ,"Foreland Road, Kirkwall, Orkney",-2.965444871430934,58.97370185705815,Orkney Islands,281,9,272,96.8,3.2,3.2,2,1,6,0,0.7,0.4,2.1,0,22.2,11.1,66.7,0,272,9
2020-08-01,Aug,2020,R103H,The Balfour,KW15 1NZ,"Foreland Road, Kirkwall, Orkney",-2.965444871430934,58.97370185705815,Orkney Islands,279,10,269,96.4,3.6,3.6,4,3,3,0,1.4,1.1,1.1,0,40,30,30,0,269,10
