Date2,Month,Year,Location,LocationName,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2015-05-01,May,2015,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,977,111,866,88.6,11.4,11.4,31,45,11,24,3.2,4.6,1.1,2.5,27.9,40.5,9.9,21.6,866,111
2015-06-01,Jun,2015,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,1070,121,949,88.7,11.3,11.3,32,53,17,19,3,5,1.6,1.8,26.4,43.8,14,15.7,949,121
2015-07-01,Jul,2015,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,1133,136,997,88,12,12,45,56,11,24,4,4.9,1,2.1,33.1,41.2,8.1,17.6,997,136
2015-08-01,Aug,2015,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,1040,119,921,88.6,11.4,11.4,32,44,14,29,3.1,4.2,1.3,2.8,26.9,37,11.8,24.4,921,119
2015-09-01,Sep,2015,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,1131,129,1002,88.6,11.4,11.4,38,48,21,22,3.4,4.2,1.9,1.9,29.5,37.2,16.3,17.1,1002,129
2015-10-01,Oct,2015,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,1154,143,1011,87.6,12.4,12.4,43,55,21,24,3.7,4.8,1.8,2.1,30.1,38.5,14.7,16.8,1011,143
2015-11-01,Nov,2015,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,1207,144,1063,88.1,11.9,11.9,47,63,12,22,3.9,5.2,1,1.8,32.6,43.8,8.3,15.3,1063,144
2015-12-01,Dec,2015,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,1031,134,897,87,13,13,46,52,11,25,4.5,5,1.1,2.4,34.3,38.8,8.2,18.7,897,134
2016-01-01,Jan,2016,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,1113,108,1005,90.3,9.7,9.7,33,54,13,8,3,4.9,1.2,0.7,30.6,50,12,7.4,1005,108
2016-02-01,Feb,2016,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,1138,153,985,86.6,13.4,13.4,56,58,15,24,4.9,5.1,1.3,2.1,36.6,37.9,9.8,15.7,985,153
2016-03-01,Mar,2016,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,1120,133,987,88.1,11.9,11.9,45,45,19,24,4,4,1.7,2.1,33.8,33.8,14.3,18,987,133
2016-04-01,Apr,2016,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,1113,129,984,88.4,11.6,11.6,43,53,15,18,3.9,4.8,1.3,1.6,33.3,41.1,11.6,14,984,129
2016-05-01,May,2016,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,1153,123,1030,89.3,10.7,10.7,38,46,13,26,3.3,4,1.1,2.3,30.9,37.4,10.6,21.1,1030,123
2016-06-01,Jun,2016,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,1137,118,1019,89.6,10.4,10.4,36,45,15,22,3.2,4,1.3,1.9,30.5,38.1,12.7,18.6,1019,118
2016-07-01,Jul,2016,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,1094,118,976,89.2,10.8,10.8,36,54,16,12,3.3,4.9,1.5,1.1,30.5,45.8,13.6,10.2,976,118
2016-08-01,Aug,2016,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,1059,105,954,90.1,9.9,9.9,41,40,16,8,3.9,3.8,1.5,0.8,39,38.1,15.2,7.6,954,105
2016-09-01,Sep,2016,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,1044,120,924,88.5,11.5,11.5,37,55,17,11,3.5,5.3,1.6,1.1,30.8,45.8,14.2,9.2,924,120
2016-10-01,Oct,2016,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,1042,124,918,88.1,11.9,11.9,47,38,27,12,4.5,3.6,2.6,1.2,37.9,30.6,21.8,9.7,918,124
2016-11-01,Nov,2016,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,1203,133,1070,88.9,11.1,11.1,45,49,20,19,3.7,4.1,1.7,1.6,33.8,36.8,15,14.3,1070,133
2016-12-01,Dec,2016,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,1003,109,894,89.1,10.9,10.9,31,47,19,12,3.1,4.7,1.9,1.2,28.4,43.1,17.4,11,894,109
2017-01-01,Jan,2017,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,1071,96,975,91,9,9,31,52,5,8,2.9,4.9,0.5,0.7,32.3,54.2,5.2,8.3,975,96
2017-02-01,Feb,2017,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,1026,125,901,87.8,12.2,12.2,36,57,22,10,3.5,5.6,2.1,1,28.8,45.6,17.6,8,901,125
2017-03-01,Mar,2017,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,1131,127,1004,88.8,11.2,11.2,38,65,19,5,3.4,5.7,1.7,0.4,29.9,51.2,15,3.9,1004,127
2017-04-01,Apr,2017,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,908,108,800,88.1,11.9,11.9,34,52,18,4,3.7,5.7,2,0.4,31.5,48.1,16.7,3.7,800,108
2017-05-01,May,2017,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,1051,134,917,87.3,12.7,12.7,41,68,17,8,3.9,6.5,1.6,0.8,30.6,50.7,12.7,6,917,134
2017-06-01,Jun,2017,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,1130,111,1019,90.2,9.8,9.8,32,67,9,3,2.8,5.9,0.8,0.3,28.8,60.4,8.1,2.7,1019,111
2017-07-01,Jul,2017,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,990,91,899,90.8,9.2,9.2,26,47,16,2,2.6,4.7,1.6,0.2,28.6,51.6,17.6,2.2,899,91
2017-08-01,Aug,2017,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,1076,119,957,88.9,11.1,11.1,24,69,21,5,2.2,6.4,2,0.5,20.2,58,17.6,4.2,957,119
2017-09-01,Sep,2017,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,930,94,836,89.9,10.1,10.1,23,57,12,2,2.5,6.1,1.3,0.2,24.5,60.6,12.8,2.1,836,94
2017-10-01,Oct,2017,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,880,84,796,90.5,9.5,9.5,23,40,17,4,2.6,4.5,1.9,0.5,27.4,47.6,20.2,4.8,796,84
2017-11-01,Nov,2017,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,1025,104,921,89.9,10.1,10.1,25,55,20,4,2.4,5.4,2,0.4,24,52.9,19.2,3.8,921,104
2017-12-01,Dec,2017,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,825,107,718,87,13,13,29,66,8,4,3.5,8,1,0.5,27.1,61.7,7.5,3.7,718,107
2018-01-01,Jan,2018,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,971,107,864,89,11,11,32,50,22,3,3.3,5.1,2.3,0.3,29.9,46.7,20.6,2.8,864,107
2018-02-01,Feb,2018,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,861,106,755,87.7,12.3,12.3,35,50,19,2,4.1,5.8,2.2,0.2,33,47.2,17.9,1.9,755,106
2018-03-01,Mar,2018,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,981,103,878,89.5,10.5,10.5,28,54,16,5,2.9,5.5,1.6,0.5,27.2,52.4,15.5,4.9,878,103
2018-04-01,Apr,2018,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,807,82,725,89.8,10.2,10.2,32,46,4,0,4,5.7,0.5,0,39,56.1,4.9,0,725,82
2018-05-01,May,2018,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,931,97,834,89.6,10.4,10.4,33,54,7,3,3.5,5.8,0.8,0.3,34,55.7,7.2,3.1,834,97
2018-06-01,Jun,2018,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,805,70,735,91.3,8.7,8.7,17,40,11,2,2.1,5,1.4,0.2,24.3,57.1,15.7,2.9,735,70
2018-07-01,Jul,2018,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,802,78,724,90.3,9.7,9.7,28,41,8,1,3.5,5.1,1,0.1,35.9,52.6,10.3,1.3,724,78
2018-08-01,Aug,2018,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,883,98,785,88.9,11.1,11.1,44,43,11,0,5,4.9,1.2,0,44.9,43.9,11.2,0,785,98
2018-09-01,Sep,2018,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,726,71,655,90.2,9.8,9.8,22,44,2,3,3,6.1,0.3,0.4,31,62,2.8,4.2,655,71
2018-10-01,Oct,2018,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,875,105,770,88,12,12,33,43,26,3,3.8,4.9,3,0.3,31.4,41,24.8,2.9,770,105
2018-11-01,Nov,2018,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,928,109,819,88.3,11.7,11.7,23,45,40,1,2.5,4.8,4.3,0.1,21.1,41.3,36.7,0.9,819,109
2018-12-01,Dec,2018,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,773,83,690,89.3,10.7,10.7,17,42,19,5,2.2,5.4,2.5,0.6,20.5,50.6,22.9,6,690,83
2019-01-01,Jan,2019,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,1030,171,859,83.4,16.6,16.6,35,78,55,3,3.4,7.6,5.3,0.3,20.5,45.6,32.2,1.8,859,171
2019-02-01,Feb,2019,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,880,120,760,86.4,13.6,13.6,30,56,30,4,3.4,6.4,3.4,0.5,25,46.7,25,3.3,760,120
2019-03-01,Mar,2019,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,887,100,787,88.7,11.3,11.3,18,57,20,5,2,6.4,2.3,0.6,18,57,20,5,787,100
2019-04-01,Apr,2019,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,852,90,762,89.4,10.6,10.6,25,42,21,2,2.9,4.9,2.5,0.2,27.8,46.7,23.3,2.2,762,90
2019-05-01,May,2019,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,819,92,727,88.8,11.2,11.2,27,40,22,3,3.3,4.9,2.7,0.4,29.3,43.5,23.9,3.3,727,92
2019-06-01,Jun,2019,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,759,86,673,88.7,11.3,11.3,29,35,17,5,3.8,4.6,2.2,0.7,33.7,40.7,19.8,5.8,673,86
2019-07-01,Jul,2019,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,814,106,708,87,13,13,34,46,14,12,4.2,5.7,1.7,1.5,32.1,43.4,13.2,11.3,708,106
2019-08-01,Aug,2019,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,983,112,871,88.6,11.4,11.4,36,45,28,3,3.7,4.6,2.8,0.3,32.1,40.2,25,2.7,871,112
2019-09-01,Sep,2019,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,783,82,701,89.5,10.5,10.5,25,32,22,3,3.2,4.1,2.8,0.4,30.5,39,26.8,3.7,701,82
2019-10-01,Oct,2019,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,904,111,793,87.7,12.3,12.3,28,51,28,4,3.1,5.6,3.1,0.4,25.2,45.9,25.2,3.6,793,111
2019-11-01,Nov,2019,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,894,114,780,87.2,12.8,12.8,22,58,32,2,2.5,6.5,3.6,0.2,19.3,50.9,28.1,1.8,780,114
2019-12-01,Dec,2019,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,860,117,743,86.4,13.6,13.6,28,61,24,4,3.3,7.1,2.8,0.5,23.9,52.1,20.5,3.4,743,117
2020-01-01,Jan,2020,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,911,110,801,87.9,12.1,12.1,27,40,40,3,3,4.4,4.4,0.3,24.5,36.4,36.4,2.7,801,110
2020-02-01,Feb,2020,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,850,105,745,87.6,12.4,12.4,32,51,20,2,3.8,6,2.4,0.2,30.5,48.6,19,1.9,745,105
2020-03-01,Mar,2020,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,694,106,588,84.7,15.3,15.3,22,47,24,13,3.2,6.8,3.5,1.9,20.8,44.3,22.6,12.3,588,106
2020-04-01,Apr,2020,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,145,25,120,82.8,17.2,17.2,1,18,6,0,0.7,12.4,4.1,0,4,72,24,0,120,25
2020-05-01,May,2020,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,108,10,98,90.7,9.3,9.3,1,4,5,0,0.9,3.7,4.6,0,10,40,50,0,98,10
2020-06-01,Jun,2020,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,236,10,226,95.8,4.2,4.2,4,4,1,1,1.7,1.7,0.4,0.4,40,40,10,10,226,10
2020-07-01,Jul,2020,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,435,37,398,91.5,8.5,8.5,8,25,3,1,1.8,5.7,0.7,0.2,21.6,67.6,8.1,2.7,398,37
2020-08-01,Aug,2020,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,553,39,514,92.9,7.1,7.1,8,21,10,0,1.4,3.8,1.8,0,20.5,53.8,25.6,0,514,39
2020-09-01,Sep,2020,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,618,44,574,92.9,7.1,7.1,7,31,6,0,1.1,5,1,0,15.9,70.5,13.6,0,574,44
2020-10-01,Oct,2020,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,554,62,492,88.8,11.2,11.2,12,32,18,0,2.2,5.8,3.2,0,19.4,51.6,29,0,492,62
2020-11-01,Nov,2020,A210H,University Hospital Ayr,KA6 6DX,"Dalmellington Road, Ayr",-4.595558414766277,55.43032913030746,South Ayrshire,518,40,478,92.3,7.7,7.7,5,22,11,2,1,4.2,2.1,0.4,12.5,55,27.5,5,478,40
