Date2,Month,Year,Location,LocationName,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2015-05-01,May,2015,A111H,University Hospital Crosshouse,KA2 0BE,"Kilmarnock Road, Kilmarnock, Ayrshire",-4.539412042256777,55.61394328791841,East Ayrshire,884,67,817,92.4,7.6,7.6,21,25,16,5,2.4,2.8,1.8,0.6,31.3,37.3,23.9,7.5,817,67
2015-06-01,Jun,2015,A111H,University Hospital Crosshouse,KA2 0BE,"Kilmarnock Road, Kilmarnock, Ayrshire",-4.539412042256777,55.61394328791841,East Ayrshire,945,84,861,91.1,8.9,8.9,39,30,12,3,4.1,3.2,1.3,0.3,46.4,35.7,14.3,3.6,861,84
2015-07-01,Jul,2015,A111H,University Hospital Crosshouse,KA2 0BE,"Kilmarnock Road, Kilmarnock, Ayrshire",-4.539412042256777,55.61394328791841,East Ayrshire,948,72,876,92.4,7.6,7.6,25,33,6,8,2.6,3.5,0.6,0.8,34.7,45.8,8.3,11.1,876,72
2015-08-01,Aug,2015,A111H,University Hospital Crosshouse,KA2 0BE,"Kilmarnock Road, Kilmarnock, Ayrshire",-4.539412042256777,55.61394328791841,East Ayrshire,882,74,808,91.6,8.4,8.4,42,18,12,2,4.8,2,1.4,0.2,56.8,24.3,16.2,2.7,808,74
2015-09-01,Sep,2015,A111H,University Hospital Crosshouse,KA2 0BE,"Kilmarnock Road, Kilmarnock, Ayrshire",-4.539412042256777,55.61394328791841,East Ayrshire,845,67,778,92.1,7.9,7.9,32,30,3,2,3.8,3.6,0.4,0.2,47.8,44.8,4.5,3,778,67
2015-10-01,Oct,2015,A111H,University Hospital Crosshouse,KA2 0BE,"Kilmarnock Road, Kilmarnock, Ayrshire",-4.539412042256777,55.61394328791841,East Ayrshire,897,72,825,92,8,8,33,34,4,1,3.7,3.8,0.4,0.1,45.8,47.2,5.6,1.4,825,72
2015-11-01,Nov,2015,A111H,University Hospital Crosshouse,KA2 0BE,"Kilmarnock Road, Kilmarnock, Ayrshire",-4.539412042256777,55.61394328791841,East Ayrshire,919,78,841,91.5,8.5,8.5,26,25,25,2,2.8,2.7,2.7,0.2,33.3,32.1,32.1,2.6,841,78
2015-12-01,Dec,2015,A111H,University Hospital Crosshouse,KA2 0BE,"Kilmarnock Road, Kilmarnock, Ayrshire",-4.539412042256777,55.61394328791841,East Ayrshire,882,80,802,90.9,9.1,9.1,46,19,11,4,5.2,2.2,1.2,0.5,57.5,23.8,13.8,5,802,80
2016-01-01,Jan,2016,A111H,University Hospital Crosshouse,KA2 0BE,"Kilmarnock Road, Kilmarnock, Ayrshire",-4.539412042256777,55.61394328791841,East Ayrshire,859,69,790,92,8,8,34,18,15,2,4,2.1,1.7,0.2,49.3,26.1,21.7,2.9,790,69
2016-02-01,Feb,2016,A111H,University Hospital Crosshouse,KA2 0BE,"Kilmarnock Road, Kilmarnock, Ayrshire",-4.539412042256777,55.61394328791841,East Ayrshire,952,81,871,91.5,8.5,8.5,34,27,16,4,3.6,2.8,1.7,0.4,42,33.3,19.8,4.9,871,81
2016-03-01,Mar,2016,A111H,University Hospital Crosshouse,KA2 0BE,"Kilmarnock Road, Kilmarnock, Ayrshire",-4.539412042256777,55.61394328791841,East Ayrshire,1002,79,923,92.1,7.9,7.9,30,30,12,7,3,3,1.2,0.7,38,38,15.2,8.9,923,79
2016-04-01,Apr,2016,A111H,University Hospital Crosshouse,KA2 0BE,"Kilmarnock Road, Kilmarnock, Ayrshire",-4.539412042256777,55.61394328791841,East Ayrshire,953,62,891,93.5,6.5,6.5,32,18,11,1,3.4,1.9,1.2,0.1,51.6,29,17.7,1.6,891,62
2016-05-01,May,2016,A111H,University Hospital Crosshouse,KA2 0BE,"Kilmarnock Road, Kilmarnock, Ayrshire",-4.539412042256777,55.61394328791841,East Ayrshire,919,58,861,93.7,6.3,6.3,26,21,4,7,2.8,2.3,0.4,0.8,44.8,36.2,6.9,12.1,861,58
2016-06-01,Jun,2016,A111H,University Hospital Crosshouse,KA2 0BE,"Kilmarnock Road, Kilmarnock, Ayrshire",-4.539412042256777,55.61394328791841,East Ayrshire,1043,85,958,91.9,8.1,8.1,36,28,16,5,3.5,2.7,1.5,0.5,42.4,32.9,18.8,5.9,958,85
2016-07-01,Jul,2016,A111H,University Hospital Crosshouse,KA2 0BE,"Kilmarnock Road, Kilmarnock, Ayrshire",-4.539412042256777,55.61394328791841,East Ayrshire,854,74,780,91.3,8.7,8.7,40,25,5,4,4.7,2.9,0.6,0.5,54.1,33.8,6.8,5.4,780,74
2016-08-01,Aug,2016,A111H,University Hospital Crosshouse,KA2 0BE,"Kilmarnock Road, Kilmarnock, Ayrshire",-4.539412042256777,55.61394328791841,East Ayrshire,939,68,871,92.8,7.2,7.2,32,30,2,4,3.4,3.2,0.2,0.4,47.1,44.1,2.9,5.9,871,68
2016-09-01,Sep,2016,A111H,University Hospital Crosshouse,KA2 0BE,"Kilmarnock Road, Kilmarnock, Ayrshire",-4.539412042256777,55.61394328791841,East Ayrshire,817,81,736,90.1,9.9,9.9,36,21,14,10,4.4,2.6,1.7,1.2,44.4,25.9,17.3,12.3,736,81
2016-10-01,Oct,2016,A111H,University Hospital Crosshouse,KA2 0BE,"Kilmarnock Road, Kilmarnock, Ayrshire",-4.539412042256777,55.61394328791841,East Ayrshire,908,69,839,92.4,7.6,7.6,29,21,13,6,3.2,2.3,1.4,0.7,42,30.4,18.8,8.7,839,69
