Date2,Month,Year,Location,LocationName,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2015-05-01,May,2015,L302H,University Hospital Hairmyres,G75 8RG,"Eaglesham Road, East Kilbride",-4.22199921257863,55.759932880491355,South Lanarkshire,902,61,841,93.2,6.8,6.8,33,14,14,0,3.7,1.6,1.6,0,54.1,23,23,0,841,61
2015-06-01,Jun,2015,L302H,University Hospital Hairmyres,G75 8RG,"Eaglesham Road, East Kilbride",-4.22199921257863,55.759932880491355,South Lanarkshire,874,67,807,92.3,7.7,7.7,37,13,17,0,4.2,1.5,1.9,0,55.2,19.4,25.4,0,807,67
2015-07-01,Jul,2015,L302H,University Hospital Hairmyres,G75 8RG,"Eaglesham Road, East Kilbride",-4.22199921257863,55.759932880491355,South Lanarkshire,890,86,804,90.3,9.7,9.7,46,20,20,0,5.2,2.2,2.2,0,53.5,23.3,23.3,0,804,86
2015-08-01,Aug,2015,L302H,University Hospital Hairmyres,G75 8RG,"Eaglesham Road, East Kilbride",-4.22199921257863,55.759932880491355,South Lanarkshire,933,61,872,93.5,6.5,6.5,41,13,7,0,4.4,1.4,0.8,0,67.2,21.3,11.5,0,872,61
2015-09-01,Sep,2015,L302H,University Hospital Hairmyres,G75 8RG,"Eaglesham Road, East Kilbride",-4.22199921257863,55.759932880491355,South Lanarkshire,897,74,823,91.8,8.2,8.2,37,29,8,0,4.1,3.2,0.9,0,50,39.2,10.8,0,823,74
2015-10-01,Oct,2015,L302H,University Hospital Hairmyres,G75 8RG,"Eaglesham Road, East Kilbride",-4.22199921257863,55.759932880491355,South Lanarkshire,1048,71,977,93.2,6.8,6.8,37,28,6,0,3.5,2.7,0.6,0,52.1,39.4,8.5,0,977,71
2015-11-01,Nov,2015,L302H,University Hospital Hairmyres,G75 8RG,"Eaglesham Road, East Kilbride",-4.22199921257863,55.759932880491355,South Lanarkshire,1044,96,948,90.8,9.2,9.2,45,31,20,0,4.3,3,1.9,0,46.9,32.3,20.8,0,948,96
2015-12-01,Dec,2015,L302H,University Hospital Hairmyres,G75 8RG,"Eaglesham Road, East Kilbride",-4.22199921257863,55.759932880491355,South Lanarkshire,1033,85,948,91.8,8.2,8.2,41,17,27,0,4,1.6,2.6,0,48.2,20,31.8,0,948,85
2016-01-01,Jan,2016,L302H,University Hospital Hairmyres,G75 8RG,"Eaglesham Road, East Kilbride",-4.22199921257863,55.759932880491355,South Lanarkshire,1063,97,966,90.9,9.1,9.1,35,27,35,0,3.3,2.5,3.3,0,36.1,27.8,36.1,0,966,97
2016-02-01,Feb,2016,L302H,University Hospital Hairmyres,G75 8RG,"Eaglesham Road, East Kilbride",-4.22199921257863,55.759932880491355,South Lanarkshire,963,80,883,91.7,8.3,8.3,29,34,17,0,3,3.5,1.8,0,36.2,42.5,21.2,0,883,80
2016-03-01,Mar,2016,L302H,University Hospital Hairmyres,G75 8RG,"Eaglesham Road, East Kilbride",-4.22199921257863,55.759932880491355,South Lanarkshire,984,81,903,91.8,8.2,8.2,41,26,14,0,4.2,2.6,1.4,0,50.6,32.1,17.3,0,903,81
2016-04-01,Apr,2016,L302H,University Hospital Hairmyres,G75 8RG,"Eaglesham Road, East Kilbride",-4.22199921257863,55.759932880491355,South Lanarkshire,1059,99,960,90.7,9.3,9.3,49,32,18,0,4.6,3,1.7,0,49.5,32.3,18.2,0,960,99
2016-05-01,May,2016,L302H,University Hospital Hairmyres,G75 8RG,"Eaglesham Road, East Kilbride",-4.22199921257863,55.759932880491355,South Lanarkshire,1103,85,1018,92.3,7.7,7.7,34,40,11,0,3.1,3.6,1,0,40,47.1,12.9,0,1018,85
2016-06-01,Jun,2016,L302H,University Hospital Hairmyres,G75 8RG,"Eaglesham Road, East Kilbride",-4.22199921257863,55.759932880491355,South Lanarkshire,1013,106,907,89.5,10.5,10.5,57,31,18,0,5.6,3.1,1.8,0,53.8,29.2,17,0,907,106
2016-07-01,Jul,2016,L302H,University Hospital Hairmyres,G75 8RG,"Eaglesham Road, East Kilbride",-4.22199921257863,55.759932880491355,South Lanarkshire,753,71,682,90.6,9.4,9.4,36,23,12,0,4.8,3.1,1.6,0,50.7,32.4,16.9,0,682,71
2016-08-01,Aug,2016,L302H,University Hospital Hairmyres,G75 8RG,"Eaglesham Road, East Kilbride",-4.22199921257863,55.759932880491355,South Lanarkshire,1081,117,964,89.2,10.8,10.8,63,26,28,0,5.8,2.4,2.6,0,53.8,22.2,23.9,0,964,117
2016-09-01,Sep,2016,L302H,University Hospital Hairmyres,G75 8RG,"Eaglesham Road, East Kilbride",-4.22199921257863,55.759932880491355,South Lanarkshire,968,117,851,87.9,12.1,12.1,42,28,47,0,4.3,2.9,4.9,0,35.9,23.9,40.2,0,851,117
2016-10-01,Oct,2016,L302H,University Hospital Hairmyres,G75 8RG,"Eaglesham Road, East Kilbride",-4.22199921257863,55.759932880491355,South Lanarkshire,1163,103,1060,91.1,8.9,8.9,54,26,23,0,4.6,2.2,2,0,52.4,25.2,22.3,0,1060,103
2016-11-01,Nov,2016,L302H,University Hospital Hairmyres,G75 8RG,"Eaglesham Road, East Kilbride",-4.22199921257863,55.759932880491355,South Lanarkshire,1015,88,927,91.3,8.7,8.7,43,27,18,0,4.2,2.7,1.8,0,48.9,30.7,20.5,0,927,88
2016-12-01,Dec,2016,L302H,University Hospital Hairmyres,G75 8RG,"Eaglesham Road, East Kilbride",-4.22199921257863,55.759932880491355,South Lanarkshire,951,100,851,89.5,10.5,10.5,50,30,20,0,5.3,3.2,2.1,0,50,30,20,0,851,100
2017-01-01,Jan,2017,L302H,University Hospital Hairmyres,G75 8RG,"Eaglesham Road, East Kilbride",-4.22199921257863,55.759932880491355,South Lanarkshire,989,89,900,91,9,9,53,15,21,0,5.4,1.5,2.1,0,59.6,16.9,23.6,0,900,89
2017-02-01,Feb,2017,L302H,University Hospital Hairmyres,G75 8RG,"Eaglesham Road, East Kilbride",-4.22199921257863,55.759932880491355,South Lanarkshire,946,92,854,90.3,9.7,9.7,56,18,18,0,5.9,1.9,1.9,0,60.9,19.6,19.6,0,854,92
