Date2,Month,Year,Location,LocationName,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2015-05-01,May,2015,L106H,University Hospital Monklands,ML6 0JS,"Monkscourt Avenue, Airdrie",-3.9995980505905995,55.86588208286804,North Lanarkshire,775,84,691,89.2,10.8,10.8,42,39,3,0,5.4,5,0.4,0,50,46.4,3.6,0,691,84
2015-06-01,Jun,2015,L106H,University Hospital Monklands,ML6 0JS,"Monkscourt Avenue, Airdrie",-3.9995980505905995,55.86588208286804,North Lanarkshire,947,90,857,90.5,9.5,9.5,48,32,10,0,5.1,3.4,1.1,0,53.3,35.6,11.1,0,857,90
2015-07-01,Jul,2015,L106H,University Hospital Monklands,ML6 0JS,"Monkscourt Avenue, Airdrie",-3.9995980505905995,55.86588208286804,North Lanarkshire,756,88,668,88.4,11.6,11.6,42,30,16,0,5.6,4,2.1,0,47.7,34.1,18.2,0,668,88
2015-08-01,Aug,2015,L106H,University Hospital Monklands,ML6 0JS,"Monkscourt Avenue, Airdrie",-3.9995980505905995,55.86588208286804,North Lanarkshire,910,99,811,89.1,10.9,10.9,49,39,11,0,5.4,4.3,1.2,0,49.5,39.4,11.1,0,811,99
2015-09-01,Sep,2015,L106H,University Hospital Monklands,ML6 0JS,"Monkscourt Avenue, Airdrie",-3.9995980505905995,55.86588208286804,North Lanarkshire,838,92,746,89,11,11,45,35,12,0,5.4,4.2,1.4,0,48.9,38,13,0,746,92
2015-10-01,Oct,2015,L106H,University Hospital Monklands,ML6 0JS,"Monkscourt Avenue, Airdrie",-3.9995980505905995,55.86588208286804,North Lanarkshire,788,77,711,90.2,9.8,9.8,20,34,23,0,2.5,4.3,2.9,0,26,44.2,29.9,0,711,77
2015-11-01,Nov,2015,L106H,University Hospital Monklands,ML6 0JS,"Monkscourt Avenue, Airdrie",-3.9995980505905995,55.86588208286804,North Lanarkshire,799,89,710,88.9,11.1,11.1,41,29,19,0,5.1,3.6,2.4,0,46.1,32.6,21.3,0,710,89
2015-12-01,Dec,2015,L106H,University Hospital Monklands,ML6 0JS,"Monkscourt Avenue, Airdrie",-3.9995980505905995,55.86588208286804,North Lanarkshire,794,84,710,89.4,10.6,10.6,22,38,24,0,2.8,4.8,3,0,26.2,45.2,28.6,0,710,84
2016-01-01,Jan,2016,L106H,University Hospital Monklands,ML6 0JS,"Monkscourt Avenue, Airdrie",-3.9995980505905995,55.86588208286804,North Lanarkshire,754,82,672,89.1,10.9,10.9,30,34,18,0,4,4.5,2.4,0,36.6,41.5,22,0,672,82
2016-02-01,Feb,2016,L106H,University Hospital Monklands,ML6 0JS,"Monkscourt Avenue, Airdrie",-3.9995980505905995,55.86588208286804,North Lanarkshire,810,99,711,87.8,12.2,12.2,32,49,18,0,4,6,2.2,0,32.3,49.5,18.2,0,711,99
2016-03-01,Mar,2016,L106H,University Hospital Monklands,ML6 0JS,"Monkscourt Avenue, Airdrie",-3.9995980505905995,55.86588208286804,North Lanarkshire,759,98,661,87.1,12.9,12.9,34,47,17,0,4.5,6.2,2.2,0,34.7,48,17.3,0,661,98
2016-04-01,Apr,2016,L106H,University Hospital Monklands,ML6 0JS,"Monkscourt Avenue, Airdrie",-3.9995980505905995,55.86588208286804,North Lanarkshire,845,143,702,83.1,16.9,16.9,73,47,23,0,8.6,5.6,2.7,0,51,32.9,16.1,0,702,143
2016-05-01,May,2016,L106H,University Hospital Monklands,ML6 0JS,"Monkscourt Avenue, Airdrie",-3.9995980505905995,55.86588208286804,North Lanarkshire,821,76,745,90.7,9.3,9.3,19,45,12,0,2.3,5.5,1.5,0,25,59.2,15.8,0,745,76
2016-06-01,Jun,2016,L106H,University Hospital Monklands,ML6 0JS,"Monkscourt Avenue, Airdrie",-3.9995980505905995,55.86588208286804,North Lanarkshire,804,70,734,91.3,8.7,8.7,31,29,10,0,3.9,3.6,1.2,0,44.3,41.4,14.3,0,734,70
2016-07-01,Jul,2016,L106H,University Hospital Monklands,ML6 0JS,"Monkscourt Avenue, Airdrie",-3.9995980505905995,55.86588208286804,North Lanarkshire,743,65,678,91.3,8.7,8.7,28,27,10,0,3.8,3.6,1.3,0,43.1,41.5,15.4,0,678,65
2016-08-01,Aug,2016,L106H,University Hospital Monklands,ML6 0JS,"Monkscourt Avenue, Airdrie",-3.9995980505905995,55.86588208286804,North Lanarkshire,759,72,687,90.5,9.5,9.5,22,45,5,0,2.9,5.9,0.7,0,30.6,62.5,6.9,0,687,72
2016-09-01,Sep,2016,L106H,University Hospital Monklands,ML6 0JS,"Monkscourt Avenue, Airdrie",-3.9995980505905995,55.86588208286804,North Lanarkshire,730,83,647,88.6,11.4,11.4,27,35,21,0,3.7,4.8,2.9,0,32.5,42.2,25.3,0,647,83
2016-10-01,Oct,2016,L106H,University Hospital Monklands,ML6 0JS,"Monkscourt Avenue, Airdrie",-3.9995980505905995,55.86588208286804,North Lanarkshire,701,59,642,91.6,8.4,8.4,22,31,6,0,3.1,4.4,0.9,0,37.3,52.5,10.2,0,642,59
2016-11-01,Nov,2016,L106H,University Hospital Monklands,ML6 0JS,"Monkscourt Avenue, Airdrie",-3.9995980505905995,55.86588208286804,North Lanarkshire,791,68,723,91.4,8.6,8.6,29,33,6,0,3.7,4.2,0.8,0,42.6,48.5,8.8,0,723,68
2016-12-01,Dec,2016,L106H,University Hospital Monklands,ML6 0JS,"Monkscourt Avenue, Airdrie",-3.9995980505905995,55.86588208286804,North Lanarkshire,640,73,567,88.6,11.4,11.4,27,41,5,0,4.2,6.4,0.8,0,37,56.2,6.8,0,567,73
2017-01-01,Jan,2017,L106H,University Hospital Monklands,ML6 0JS,"Monkscourt Avenue, Airdrie",-3.9995980505905995,55.86588208286804,North Lanarkshire,710,69,641,90.3,9.7,9.7,34,29,6,0,4.8,4.1,0.8,0,49.3,42,8.7,0,641,69
2017-02-01,Feb,2017,L106H,University Hospital Monklands,ML6 0JS,"Monkscourt Avenue, Airdrie",-3.9995980505905995,55.86588208286804,North Lanarkshire,684,68,616,90.1,9.9,9.9,29,31,8,0,4.2,4.5,1.2,0,42.6,45.6,11.8,0,616,68
2017-03-01,Mar,2017,L106H,University Hospital Monklands,ML6 0JS,"Monkscourt Avenue, Airdrie",-3.9995980505905995,55.86588208286804,North Lanarkshire,839,89,750,89.4,10.6,10.6,33,43,13,0,3.9,5.1,1.5,0,37.1,48.3,14.6,0,750,89
2017-04-01,Apr,2017,L106H,University Hospital Monklands,ML6 0JS,"Monkscourt Avenue, Airdrie",-3.9995980505905995,55.86588208286804,North Lanarkshire,558,51,507,90.9,9.1,9.1,25,20,6,0,4.5,3.6,1.1,0,49,39.2,11.8,0,507,51
2017-05-01,May,2017,L106H,University Hospital Monklands,ML6 0JS,"Monkscourt Avenue, Airdrie",-3.9995980505905995,55.86588208286804,North Lanarkshire,745,55,690,92.6,7.4,7.4,22,27,6,0,3,3.6,0.8,0,40,49.1,10.9,0,690,55
