Date2,Month,Year,Location,LocationName,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2015-05-01,May,2015,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,1005,69,936,93.1,6.9,6.9,25,40,4,0,2.5,4,0.4,0,36.2,58,5.8,0,936,69
2015-06-01,Jun,2015,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,863,70,793,91.9,8.1,8.1,36,29,5,0,4.2,3.4,0.6,0,51.4,41.4,7.1,0,793,70
2015-07-01,Jul,2015,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,686,46,640,93.3,6.7,6.7,19,23,4,0,2.8,3.4,0.6,0,41.3,50,8.7,0,640,46
2015-08-01,Aug,2015,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,825,62,763,92.5,7.5,7.5,27,31,3,1,3.3,3.8,0.4,0.1,43.5,50,4.8,1.6,763,62
2015-09-01,Sep,2015,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,836,70,766,91.6,8.4,8.4,32,28,9,1,3.8,3.3,1.1,0.1,45.7,40,12.9,1.4,766,70
2015-10-01,Oct,2015,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,921,104,817,88.7,11.3,11.3,52,46,5,1,5.6,5,0.5,0.1,50,44.2,4.8,1,817,104
2015-11-01,Nov,2015,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,899,86,813,90.4,9.6,9.6,40,35,9,2,4.4,3.9,1,0.2,46.5,40.7,10.5,2.3,813,86
2015-12-01,Dec,2015,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,802,69,733,91.4,8.6,8.6,31,34,2,2,3.9,4.2,0.2,0.2,44.9,49.3,2.9,2.9,733,69
2016-01-01,Jan,2016,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,813,84,729,89.7,10.3,10.3,36,36,5,7,4.4,4.4,0.6,0.9,42.9,42.9,6,8.3,729,84
2016-02-01,Feb,2016,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,926,93,833,90,10,10,43,42,7,1,4.6,4.5,0.8,0.1,46.2,45.2,7.5,1.1,833,93
2016-03-01,Mar,2016,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,927,75,852,91.9,8.1,8.1,31,31,10,3,3.3,3.3,1.1,0.3,41.3,41.3,13.3,4,852,75
2016-04-01,Apr,2016,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,926,91,835,90.2,9.8,9.8,40,48,2,1,4.3,5.2,0.2,0.1,44,52.7,2.2,1.1,835,91
2016-05-01,May,2016,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,936,93,843,90.1,9.9,9.9,44,28,20,1,4.7,3,2.1,0.1,47.3,30.1,21.5,1.1,843,93
2016-06-01,Jun,2016,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,961,97,864,89.9,10.1,10.1,31,48,16,2,3.2,5,1.7,0.2,32,49.5,16.5,2.1,864,97
2016-07-01,Jul,2016,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,706,86,620,87.8,12.2,12.2,53,23,9,1,7.5,3.3,1.3,0.1,61.6,26.7,10.5,1.2,620,86
2016-08-01,Aug,2016,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,1008,121,887,88,12,12,39,54,14,14,3.9,5.4,1.4,1.4,32.2,44.6,11.6,11.6,887,121
2016-09-01,Sep,2016,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,913,85,828,90.7,9.3,9.3,39,37,9,0,4.3,4.1,1,0,45.9,43.5,10.6,0,828,85
2016-10-01,Oct,2016,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,880,109,771,87.6,12.4,12.4,39,28,21,21,4.4,3.2,2.4,2.4,35.8,25.7,19.3,19.3,771,109
2016-11-01,Nov,2016,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,1024,101,923,90.1,9.9,9.9,35,44,11,11,3.4,4.3,1.1,1.1,34.7,43.6,10.9,10.9,923,101
2016-12-01,Dec,2016,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,810,93,717,88.5,11.5,11.5,42,40,8,3,5.2,4.9,1,0.4,45.2,43,8.6,3.2,717,93
2017-01-01,Jan,2017,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,871,64,807,92.7,7.3,7.3,24,32,5,3,2.8,3.7,0.6,0.3,37.5,50,7.8,4.7,807,64
2017-02-01,Feb,2017,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,890,97,793,89.1,10.9,10.9,39,47,9,2,4.4,5.3,1,0.2,40.2,48.5,9.3,2.1,793,97
2017-03-01,Mar,2017,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,959,81,878,91.6,8.4,8.4,37,35,9,0,3.9,3.6,0.9,0,45.7,43.2,11.1,0,878,81
2017-04-01,Apr,2017,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,718,82,636,88.6,11.4,11.4,40,35,6,1,5.6,4.9,0.8,0.1,48.8,42.7,7.3,1.2,636,82
2017-05-01,May,2017,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,855,96,759,88.8,11.2,11.2,44,47,5,0,5.1,5.5,0.6,0,45.8,49,5.2,0,759,96
2017-06-01,Jun,2017,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,874,94,780,89.2,10.8,10.8,52,34,6,2,5.9,3.9,0.7,0.2,55.3,36.2,6.4,2.1,780,94
2017-07-01,Jul,2017,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,702,63,639,91,9,9,29,30,2,2,4.1,4.3,0.3,0.3,46,47.6,3.2,3.2,639,63
2017-08-01,Aug,2017,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,879,72,807,91.8,8.2,8.2,44,24,4,0,5,2.7,0.5,0,61.1,33.3,5.6,0,807,72
2017-09-01,Sep,2017,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,828,82,746,90.1,9.9,9.9,28,31,8,15,3.4,3.7,1,1.8,34.1,37.8,9.8,18.3,746,82
2017-10-01,Oct,2017,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,797,58,739,92.7,7.3,7.3,24,26,7,1,3,3.3,0.9,0.1,41.4,44.8,12.1,1.7,739,58
2017-11-01,Nov,2017,G516H,West Glasgow,G12 0YN,"1053 Great Western Road, Glasgow",-4.312732212533992,55.883222226648314,Glasgow City,951,79,872,91.7,8.3,8.3,27,34,11,7,2.8,3.6,1.2,0.7,34.2,43,13.9,8.9,872,79
