Date2,Month,Year,Location,LocationName,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2015-05-01,May,2015,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1197,187,1010,84.4,15.6,15.6,97,19,3,68,8.1,1.6,0.3,5.7,51.9,10.2,1.6,36.4,1010,187
2015-06-01,Jun,2015,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1360,221,1139,83.8,16.2,16.2,105,20,7,89,7.7,1.5,0.5,6.5,47.5,9,3.2,40.3,1139,221
2015-07-01,Jul,2015,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1143,176,967,84.6,15.4,15.4,86,26,12,52,7.5,2.3,1,4.5,48.9,14.8,6.8,29.5,967,176
2015-08-01,Aug,2015,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1266,189,1077,85.1,14.9,14.9,98,65,12,14,7.7,5.1,0.9,1.1,51.9,34.4,6.3,7.4,1077,189
2015-09-01,Sep,2015,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1332,205,1127,84.6,15.4,15.4,96,58,23,28,7.2,4.4,1.7,2.1,46.8,28.3,11.2,13.7,1127,205
2015-10-01,Oct,2015,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1359,228,1131,83.2,16.8,16.8,114,48,25,41,8.4,3.5,1.8,3,50,21.1,11,18,1131,228
2015-11-01,Nov,2015,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1572,317,1255,79.8,20.2,20.2,206,63,34,14,13.1,4,2.2,0.9,65,19.9,10.7,4.4,1255,317
2015-12-01,Dec,2015,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1394,236,1158,83.1,16.9,16.9,150,53,23,10,10.8,3.8,1.6,0.7,63.6,22.5,9.7,4.2,1158,236
2016-01-01,Jan,2016,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1350,224,1126,83.4,16.6,16.6,121,50,38,15,9,3.7,2.8,1.1,54,22.3,17,6.7,1126,224
2016-02-01,Feb,2016,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1560,262,1298,83.2,16.8,16.8,141,64,45,12,9,4.1,2.9,0.8,53.8,24.4,17.2,4.6,1298,262
2016-03-01,Mar,2016,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1565,288,1277,81.6,18.4,18.4,179,70,23,16,11.4,4.5,1.5,1,62.2,24.3,8,5.6,1277,288
2016-04-01,Apr,2016,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1320,208,1112,84.2,15.8,15.8,134,48,13,13,10.2,3.6,1,1,64.4,23.1,6.2,6.2,1112,208
2016-05-01,May,2016,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1405,179,1226,87.3,12.7,12.7,106,48,12,13,7.5,3.4,0.9,0.9,59.2,26.8,6.7,7.3,1226,179
2016-06-01,Jun,2016,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1555,252,1303,83.8,16.2,16.2,149,50,27,26,9.6,3.2,1.7,1.7,59.1,19.8,10.7,10.3,1303,252
2016-07-01,Jul,2016,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1306,165,1141,87.4,12.6,12.6,105,41,10,9,8,3.1,0.8,0.7,63.6,24.8,6.1,5.5,1141,165
2016-08-01,Aug,2016,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1398,169,1229,87.9,12.1,12.1,113,40,9,7,8.1,2.9,0.6,0.5,66.9,23.7,5.3,4.1,1229,169
2016-09-01,Sep,2016,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1155,162,993,86,14,14,84,39,16,23,7.3,3.4,1.4,2,51.9,24.1,9.9,14.2,993,162
2016-10-01,Oct,2016,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1211,157,1054,87,13,13,54,62,29,12,4.5,5.1,2.4,1,34.4,39.5,18.5,7.6,1054,157
2016-11-01,Nov,2016,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1296,170,1126,86.9,13.1,13.1,87,48,27,8,6.7,3.7,2.1,0.6,51.2,28.2,15.9,4.7,1126,170
2016-12-01,Dec,2016,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1277,181,1096,85.8,14.2,14.2,86,57,27,11,6.7,4.5,2.1,0.9,47.5,31.5,14.9,6.1,1096,181
2017-01-01,Jan,2017,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1153,137,1016,88.1,11.9,11.9,62,47,22,6,5.4,4.1,1.9,0.5,45.3,34.3,16.1,4.4,1016,137
2017-02-01,Feb,2017,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1257,164,1093,87,13,13,85,41,33,5,6.8,3.3,2.6,0.4,51.8,25,20.1,3,1093,164
2017-03-01,Mar,2017,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1393,157,1236,88.7,11.3,11.3,97,41,14,5,7,2.9,1,0.4,61.8,26.1,8.9,3.2,1236,157
2017-04-01,Apr,2017,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1166,142,1024,87.8,12.2,12.2,85,40,10,7,7.3,3.4,0.9,0.6,59.9,28.2,7,4.9,1024,142
2017-05-01,May,2017,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1379,138,1241,90,10,10,80,37,12,9,5.8,2.7,0.9,0.7,58,26.8,8.7,6.5,1241,138
2017-06-01,Jun,2017,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1353,178,1175,86.8,13.2,13.2,103,64,6,5,7.6,4.7,0.4,0.4,57.9,36,3.4,2.8,1175,178
2017-07-01,Jul,2017,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1390,173,1217,87.6,12.4,12.4,90,56,21,6,6.5,4,1.5,0.4,52,32.4,12.1,3.5,1217,173
2017-08-01,Aug,2017,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1551,178,1373,88.5,11.5,11.5,95,53,16,14,6.1,3.4,1,0.9,53.4,29.8,9,7.9,1373,178
2017-09-01,Sep,2017,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1297,180,1117,86.1,13.9,13.9,87,53,20,20,6.7,4.1,1.5,1.5,48.3,29.4,11.1,11.1,1117,180
2017-10-01,Oct,2017,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1415,119,1296,91.6,8.4,8.4,59,38,16,6,4.2,2.7,1.1,0.4,49.6,31.9,13.4,5,1296,119
2017-11-01,Nov,2017,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1445,123,1322,91.5,8.5,8.5,63,40,8,12,4.4,2.8,0.6,0.8,51.2,32.5,6.5,9.8,1322,123
2017-12-01,Dec,2017,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1174,110,1064,90.6,9.4,9.4,62,24,15,9,5.3,2,1.3,0.8,56.4,21.8,13.6,8.2,1064,110
2018-01-01,Jan,2018,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1461,235,1226,83.9,16.1,16.1,101,55,72,7,6.9,3.8,4.9,0.5,43,23.4,30.6,3,1226,235
2018-02-01,Feb,2018,S116H,Western General Hospital,EH4 2XU,"Crewe Road South, Edinburgh",-3.2349071253289083,55.961807395095526,City of Edinburgh,1179,147,1032,87.5,12.5,12.5,75,36,23,13,6.4,3.1,2,1.1,51,24.5,15.6,8.8,1032,147
