Date2,Month,Year,Location,LocationName,Postcode,AddressLine,lon,lat,CAName,TotalOperations,Cancelled,Performed,Performed_PC,Cancelled_PC,Group,Cancelled by patient,Clinical reason,Capacity reason,Other reason,Cancelled_By_Patient_pc_of_planned_ops,Cancelled_clinical_reason_pc_of_planned_ops,Non_clinical_capacity_reason_pc_of_planned_ops,Other_Reason_pc_of_planned_ops,Cancelled_By_Patient_pc_of_cancelled_ops,Cancelled_clinical_reason_pc_of_cancelled_ops,Non_clinical_capacity_reason_pc_of_cancelled_ops,Other_Reason_pc_of_cancelled_ops,PerformedPopUp,CancelledPopUp
2015-05-01,May,2015,W107H,Western Isles Hospital,HS1 2AF,"Macaulay Road, Stornoway, Isle of Lewis",-6.383596732532542,58.22111585437035,Na h-Eileanan Siar,102,12,90,88.2,11.8,11.8,3,3,6,0,2.9,2.9,5.9,0,25,25,50,0,90,12
2015-06-01,Jun,2015,W107H,Western Isles Hospital,HS1 2AF,"Macaulay Road, Stornoway, Isle of Lewis",-6.383596732532542,58.22111585437035,Na h-Eileanan Siar,126,15,111,88.1,11.9,11.9,5,6,2,2,4,4.8,1.6,1.6,33.3,40,13.3,13.3,111,15
2015-07-01,Jul,2015,W107H,Western Isles Hospital,HS1 2AF,"Macaulay Road, Stornoway, Isle of Lewis",-6.383596732532542,58.22111585437035,Na h-Eileanan Siar,117,10,107,91.5,8.5,8.5,4,4,1,1,3.4,3.4,0.9,0.9,40,40,10,10,107,10
2015-08-01,Aug,2015,W107H,Western Isles Hospital,HS1 2AF,"Macaulay Road, Stornoway, Isle of Lewis",-6.383596732532542,58.22111585437035,Na h-Eileanan Siar,113,8,105,92.9,7.1,7.1,3,3,2,0,2.7,2.7,1.8,0,37.5,37.5,25,0,105,8
2015-09-01,Sep,2015,W107H,Western Isles Hospital,HS1 2AF,"Macaulay Road, Stornoway, Isle of Lewis",-6.383596732532542,58.22111585437035,Na h-Eileanan Siar,135,13,122,90.4,9.6,9.6,4,6,3,0,3,4.4,2.2,0,30.8,46.2,23.1,0,122,13
2015-10-01,Oct,2015,W107H,Western Isles Hospital,HS1 2AF,"Macaulay Road, Stornoway, Isle of Lewis",-6.383596732532542,58.22111585437035,Na h-Eileanan Siar,114,11,103,90.4,9.6,9.6,4,1,4,2,3.5,0.9,3.5,1.8,36.4,9.1,36.4,18.2,103,11
2015-11-01,Nov,2015,W107H,Western Isles Hospital,HS1 2AF,"Macaulay Road, Stornoway, Isle of Lewis",-6.383596732532542,58.22111585437035,Na h-Eileanan Siar,118,8,110,93.2,6.8,6.8,0,5,3,0,0,4.2,2.5,0,0,62.5,37.5,0,110,8
2015-12-01,Dec,2015,W107H,Western Isles Hospital,HS1 2AF,"Macaulay Road, Stornoway, Isle of Lewis",-6.383596732532542,58.22111585437035,Na h-Eileanan Siar,100,5,95,95,5,5,0,4,0,1,0,4,0,1,0,80,0,20,95,5
2016-01-01,Jan,2016,W107H,Western Isles Hospital,HS1 2AF,"Macaulay Road, Stornoway, Isle of Lewis",-6.383596732532542,58.22111585437035,Na h-Eileanan Siar,110,14,96,87.3,12.7,12.7,6,6,0,2,5.5,5.5,0,1.8,42.9,42.9,0,14.3,96,14
2016-02-01,Feb,2016,W107H,Western Isles Hospital,HS1 2AF,"Macaulay Road, Stornoway, Isle of Lewis",-6.383596732532542,58.22111585437035,Na h-Eileanan Siar,132,13,119,90.2,9.8,9.8,6,4,2,1,4.5,3,1.5,0.8,46.2,30.8,15.4,7.7,119,13
2016-03-01,Mar,2016,W107H,Western Isles Hospital,HS1 2AF,"Macaulay Road, Stornoway, Isle of Lewis",-6.383596732532542,58.22111585437035,Na h-Eileanan Siar,108,26,82,75.9,24.1,24.1,5,7,13,1,4.6,6.5,12,0.9,19.2,26.9,50,3.8,82,26
2016-04-01,Apr,2016,W107H,Western Isles Hospital,HS1 2AF,"Macaulay Road, Stornoway, Isle of Lewis",-6.383596732532542,58.22111585437035,Na h-Eileanan Siar,118,4,114,96.6,3.4,3.4,0,4,0,0,0,3.4,0,0,0,100,0,0,114,4
2016-05-01,May,2016,W107H,Western Isles Hospital,HS1 2AF,"Macaulay Road, Stornoway, Isle of Lewis",-6.383596732532542,58.22111585437035,Na h-Eileanan Siar,119,8,111,93.3,6.7,6.7,4,4,0,0,3.4,3.4,0,0,50,50,0,0,111,8
2016-06-01,Jun,2016,W107H,Western Isles Hospital,HS1 2AF,"Macaulay Road, Stornoway, Isle of Lewis",-6.383596732532542,58.22111585437035,Na h-Eileanan Siar,122,13,109,89.3,10.7,10.7,4,8,1,0,3.3,6.6,0.8,0,30.8,61.5,7.7,0,109,13
2016-07-01,Jul,2016,W107H,Western Isles Hospital,HS1 2AF,"Macaulay Road, Stornoway, Isle of Lewis",-6.383596732532542,58.22111585437035,Na h-Eileanan Siar,96,9,87,90.6,9.4,9.4,3,3,1,2,3.1,3.1,1,2.1,33.3,33.3,11.1,22.2,87,9
2016-08-01,Aug,2016,W107H,Western Isles Hospital,HS1 2AF,"Macaulay Road, Stornoway, Isle of Lewis",-6.383596732532542,58.22111585437035,Na h-Eileanan Siar,128,16,112,87.5,12.5,12.5,3,8,4,1,2.3,6.2,3.1,0.8,18.8,50,25,6.2,112,16
