Month,HBT,TotalOperations,TotalOperationsQF,TotalCancelled,TotalCancelledQF,CancelledByPatientReason,CancelledByPatientReasonQF,ClinicalReason,ClinicalReasonQF,NonClinicalCapacityReason,NonClinicalCapacityReasonQF,OtherReason,OtherReasonQF
201505,S08000015,1861,,178,,52,,70,,27,,29,
201505,S08000016,457,,66,,11,,10,,45,,0,
201505,S08000017,1433,,113,,33,,56,,15,,9,
201505,S08000019,1250,,91,,40,,34,,10,,7,
201505,S08000020,3310,,264,,110,,71,,76,,7,
201505,S08000022,1546,,241,,94,,53,,94,,0,
201505,S08000024,4695,,551,,254,,81,,27,,189,
201505,S08000025,182,,40,,30,,3,,5,,2,
201505,S08000026,163,,8,,5,,2,,1,,0,
201505,S08000028,102,,12,,3,,3,,6,,0,
201505,S08000029,1291,,103,,22,,57,,22,,2,
201505,S08000030,2389,,265,,80,,107,,66,,12,
201505,S08000031,6438,,483,,191,,223,,64,,5,
201505,S08000032,2419,,223,,112,,76,,35,,0,
201505,SB0801,1274,,57,,20,,7,,30,,0,
201506,S08000015,2015,,205,,71,,83,,29,,22,
201506,S08000016,511,,45,,15,,9,,20,,1,
201506,S08000017,1674,,113,,36,,60,,10,,7,
201506,S08000019,1190,,97,,46,,37,,8,,6,
201506,S08000020,3405,,310,,135,,96,,62,,17,
201506,S08000022,1604,,199,,90,,42,,67,,0,
201506,S08000024,5632,,649,,329,,93,,26,,201,
201506,S08000025,165,,11,,4,,0,,7,,0,
201506,S08000026,154,,8,,3,,2,,3,,0,
201506,S08000028,126,,15,,5,,6,,2,,2,
201506,S08000029,1438,,133,,46,,51,,29,,7,
201506,S08000030,2494,,253,,95,,84,,56,,18,
201506,S08000031,6788,,483,,186,,237,,54,,6,
201506,S08000032,2486,,207,,109,,62,,36,,0,
201506,SB0801,1259,,72,,24,,8,,40,,0,
201507,S08000015,2081,,208,,70,,89,,17,,32,
201507,S08000016,468,,33,,7,,8,,18,,0,
201507,S08000017,1680,,151,,49,,64,,26,,12,
201507,S08000019,1081,,94,,40,,26,,19,,9,
201507,S08000020,3121,,315,,149,,84,,48,,34,
201507,S08000022,1582,,192,,94,,56,,42,,0,
201507,S08000024,4477,,587,,274,,114,,54,,145,
201507,S08000025,168,,15,,3,,4,,8,,0,
201507,S08000026,166,,20,,7,,4,,9,,0,
201507,S08000028,117,,10,,4,,4,,1,,1,
201507,S08000029,1291,,90,,37,,40,,13,,0,
201507,S08000030,2062,,196,,55,,75,,57,,9,
201507,S08000031,5780,,419,,159,,207,,47,,6,
201507,S08000032,2302,,224,,113,,63,,48,,0,
201507,SB0801,1349,,88,,22,,16,,50,,0,
201508,S08000015,1922,,193,,74,,62,,26,,31,
201508,S08000016,469,,57,,8,,12,,36,,1,
201508,S08000017,1657,,136,,49,,70,,6,,11,
201508,S08000019,1154,,87,,40,,27,,12,,8,
201508,S08000020,3138,,269,,125,,76,,60,,8,
201508,S08000022,1409,,212,,100,,48,,64,,0,
201508,S08000024,5046,,517,,261,,152,,65,,39,
201508,S08000025,182,,11,,1,,1,,6,,3,
201508,S08000026,172,,11,,5,,6,,0,,0,
201508,S08000028,113,,8,,3,,3,,2,,0,
201508,S08000029,1149,,89,,22,,42,,8,,17,
201508,S08000030,2461,,252,,74,,89,,68,,21,
201508,S08000031,6285,,484,,180,,246,,50,,8,
201508,S08000032,2465,,214,,114,,68,,32,,0,
201508,SB0801,1326,,90,,24,,10,,56,,0,
201509,S08000015,1976,,196,,70,,78,,24,,24,
201509,S08000016,550,,46,,18,,12,,16,,0,
201509,S08000017,1659,,142,,57,,59,,19,,7,
201509,S08000019,1152,,115,,35,,51,,12,,17,
201509,S08000020,3319,,268,,105,,90,,50,,23,
201509,S08000022,1648,,216,,110,,63,,43,,0,
201509,S08000024,5357,,600,,280,,167,,84,,69,
201509,S08000025,162,,13,,9,,1,,3,,0,
201509,S08000026,170,,7,,6,,1,,0,,0,
201509,S08000028,135,,13,,4,,6,,3,,0,
201509,S08000029,1436,,89,,26,,43,,19,,1,
201509,S08000030,2610,,253,,71,,88,,74,,20,
201509,S08000031,7014,,556,,200,,245,,100,,11,
201509,S08000032,2414,,222,,106,,86,,30,,0,
201509,SB0801,1336,,93,,25,,10,,58,,0,
201510,S08000015,2051,,215,,76,,89,,25,,25,
201510,S08000016,510,,46,,10,,12,,24,,0,
201510,S08000017,1667,,153,,41,,83,,14,,15,
201510,S08000019,1058,,113,,34,,47,,23,,9,
201510,S08000020,3229,,242,,99,,80,,48,,15,
201510,S08000022,1502,,227,,107,,57,,63,,0,
201510,S08000024,5438,,640,,304,,144,,91,,101,
201510,S08000025,247,,30,,5,,9,,11,,5,
201510,S08000026,148,,8,,3,,3,,2,,0,
201510,S08000028,114,,11,,4,,1,,4,,2,
201510,S08000029,1335,,105,,38,,46,,18,,3,
201510,S08000030,2393,,225,,72,,89,,50,,14,
201510,S08000031,7859,,738,,288,,322,,122,,6,
201510,S08000032,2523,,213,,88,,84,,41,,0,
201510,SB0801,1413,,84,,29,,9,,46,,0,
201511,S08000015,2126,,222,,73,,88,,37,,24,
201511,S08000016,485,,37,,11,,10,,16,,0,
201511,S08000017,1511,,115,,25,,62,,12,,16,
201511,S08000019,1170,,101,,33,,42,,21,,5,
201511,S08000020,3345,,269,,111,,81,,64,,13,
201511,S08000022,1404,,166,,85,,46,,34,,1,
201511,S08000024,5701,,749,,395,,185,,102,,67,
201511,S08000025,206,,18,,6,,7,,3,,2,
201511,S08000026,160,,4,,3,,1,,0,,0,
201511,S08000028,118,,8,,0,,5,,3,,0,
201511,S08000029,1488,,113,,41,,54,,18,,0,
201511,S08000030,2368,,245,,69,,101,,67,,8,
201511,S08000031,7744,,699,,270,,297,,115,,17,
201511,S08000032,2503,,236,,107,,74,,55,,0,
201511,SB0801,1410,,80,,36,,9,,35,,0,
201512,S08000015,1913,,214,,92,,71,,22,,29,
201512,S08000016,363,,34,,9,,8,,17,,0,
201512,S08000017,1552,,121,,35,,63,,14,,9,
201512,S08000019,1035,,96,,35,,48,,12,,1,
201512,S08000020,3018,,236,,104,,68,,56,,8,
201512,S08000022,1311,,178,,71,,37,,69,,1,
201512,S08000024,5349,,688,,347,,181,,121,,39,
201512,S08000025,199,,17,,8,,8,,0,,1,
201512,S08000026,143,,7,,3,,2,,2,,0,
