Month,Hospital,TotalOperations,TotalOperationsQF,TotalCancelled,TotalCancelledQF,CancelledByPatientReason,CancelledByPatientReasonQF,ClinicalReason,ClinicalReasonQF,NonClinicalCapacityReason,NonClinicalCapacityReasonQF,OtherReason,OtherReasonQF
201505,D102H,1274,,57,,20,,7,,30,,0,
201505,A111H,884,,67,,21,,25,,16,,5,
201505,A210H,977,,111,,31,,45,,11,,24,
201505,B120H,457,,66,,11,,10,,45,,0,
201505,Y104H,1312,,100,,27,,54,,10,,9,
201505,Y144H,121,,13,,6,,2,,5,,0,
201505,F704H,685,,57,,5,,38,,13,,1,
201505,F805H,606,,46,,17,,19,,9,,1,
201505,V102H,148,,13,,5,,3,,1,,4,
201505,V217H,1102,,78,,35,,31,,9,,3,
201505,N101H,1794,,172,,65,,47,,57,,3,
201505,N102H,509,,31,,8,,10,,10,,3,
201505,N121H,226,,16,,8,,3,,4,,1,
201505,N161H,84,,1,,1,,0,,0,,0,
201505,N411H,697,,44,,28,,11,,5,,0,
201505,C206H,272,,27,,11,,16,,0,,0,
201505,C313H,397,,33,,16,,15,,0,,2,
201505,C418H,821,,60,,24,,25,,10,,1,
201505,G107H,959,,61,,21,,24,,16,,0,
201505,G207H,716,,57,,29,,28,,0,,0,
201505,G306H,637,,44,,24,,17,,1,,2,
201505,G405H,794,,69,,15,,31,,23,,0,
201505,G513H,837,,63,,26,,27,,10,,0,
201505,G516H,1005,,69,,25,,40,,4,,0,
201505,C121H,180,,25,,16,,5,,4,,0,
201505,H103H,208,,19,,10,,8,,1,,0,
201505,H202H,1018,,176,,55,,35,,86,,0,
201505,H212H,140,,21,,13,,5,,3,,0,
201505,L106H,775,,84,,42,,39,,3,,0,
201505,L302H,902,,61,,33,,14,,14,,0,
201505,L308H,742,,78,,37,,23,,18,,0,
201505,S113H,119,,19,,14,,0,,0,,5,
201505,S116H,1197,,187,,97,,19,,3,,68,
201505,S225H,478,,73,,33,,26,,7,,7,
201505,S308H,1127,,124,,54,,8,,2,,60,
201505,S314H,1357,,89,,27,,23,,11,,28,
201505,S316H,417,,59,,29,,5,,4,,21,
201505,R101H,182,,40,,30,,3,,5,,2,
201505,Z102H,163,,8,,5,,2,,1,,0,
201505,T101H,1439,,175,,40,,72,,52,,11,
201505,T202H,579,,69,,30,,29,,9,,1,
201505,T312H,371,,21,,10,,6,,5,,0,
201505,W107H,102,,12,,3,,3,,6,,0,
201506,D102H,1259,,72,,24,,8,,40,,0,
201506,A111H,945,,84,,39,,30,,12,,3,
201506,A210H,1070,,121,,32,,53,,17,,19,
201506,B120H,511,,45,,15,,9,,20,,1,
201506,Y104H,1539,,103,,31,,55,,10,,7,
201506,Y144H,135,,10,,5,,5,,0,,0,
201506,F704H,737,,66,,19,,26,,16,,5,
201506,F805H,701,,67,,27,,25,,13,,2,
201506,V102H,163,,15,,8,,7,,0,,0,
201506,V217H,1027,,82,,38,,30,,8,,6,
201506,N101H,1811,,180,,76,,56,,43,,5,
201506,N102H,461,,35,,12,,16,,6,,1,
201506,N121H,290,,38,,21,,5,,10,,2,
201506,N161H,97,,1,,0,,0,,0,,1,
201506,N411H,746,,56,,26,,19,,3,,8,
201506,C206H,262,,24,,11,,12,,1,,0,
201506,C313H,501,,29,,17,,12,,0,,0,
201506,C418H,905,,61,,24,,25,,9,,3,
201506,G107H,1059,,67,,22,,31,,13,,1,
201506,G207H,694,,54,,24,,30,,0,,0,
201506,G306H,782,,51,,20,,30,,0,,1,
201506,G405H,1152,,81,,20,,41,,19,,1,
201506,G513H,570,,46,,12,,27,,7,,0,
201506,G516H,863,,70,,36,,29,,5,,0,
201506,C121H,224,,30,,18,,5,,7,,0,
201506,H103H,225,,17,,11,,4,,2,,0,
201506,H202H,1004,,131,,48,,25,,58,,0,
201506,H212H,151,,21,,13,,8,,0,,0,
201506,L106H,947,,90,,48,,32,,10,,0,
201506,L302H,874,,67,,37,,13,,17,,0,
201506,L308H,665,,50,,24,,17,,9,,0,
201506,S113H,152,,16,,11,,0,,0,,5,
201506,S116H,1360,,221,,105,,20,,7,,89,
201506,S225H,608,,60,,33,,22,,3,,2,
201506,S308H,1460,,184,,103,,18,,3,,60,
201506,S314H,1517,,102,,43,,28,,12,,19,
201506,S316H,535,,66,,34,,5,,1,,26,
201506,R101H,165,,11,,4,,0,,7,,0,
201506,Z102H,154,,8,,3,,2,,3,,0,
201506,T101H,1534,,168,,58,,57,,38,,15,
201506,T202H,613,,67,,30,,22,,14,,1,
201506,T312H,347,,18,,7,,5,,4,,2,
201506,W107H,126,,15,,5,,6,,2,,2,
201507,D102H,1349,,88,,22,,16,,50,,0,
201507,A111H,948,,72,,25,,33,,6,,8,
201507,A210H,1133,,136,,45,,56,,11,,24,
201507,B120H,468,,33,,7,,8,,18,,0,
201507,Y104H,1515,,126,,35,,55,,25,,11,
201507,Y144H,165,,25,,14,,9,,1,,1,
201507,F704H,652,,41,,9,,24,,8,,0,
201507,F805H,639,,49,,28,,16,,5,,0,
201507,V102H,143,,19,,3,,4,,11,,1,
201507,V217H,938,,75,,37,,22,,8,,8,
201507,N101H,1829,,212,,88,,54,,40,,30,
201507,N102H,339,,21,,10,,9,,2,,0,
201507,N121H,326,,35,,23,,5,,3,,4,
201507,N161H,83,,0,,0,,0,,0,,0,
201507,N411H,544,,47,,28,,16,,3,,0,
201507,C206H,218,,24,,7,,14,,3,,0,
201507,C313H,381,,20,,7,,12,,1,,0,
201507,C418H,826,,58,,28,,22,,7,,1,
201507,G107H,868,,62,,13,,41,,7,,1,
201507,G207H,578,,32,,11,,15,,6,,0,
201507,G306H,621,,48,,20,,23,,4,,1,
201507,G405H,924,,87,,32,,41,,12,,2,
